Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
100.0,,0.0124817,5e-06,-0.0463259,5e-06,,0.01
119.83967935871743,,0.021248,5e-06,-0.0445025,5e-06,,0.01
139.67935871743487,,0.0541918,5e-06,-0.0377123,5e-06,,0.01
159.5190380761523,,0.097405,5e-06,-0.02903,5e-06,,0.01
179.35871743486973,,0.134355,5e-06,-0.0219804,5e-06,,0.01
199.1983967935872,,0.159387,5e-06,-0.0177003,5e-06,,0.01
219.03807615230463,,0.174241,5e-06,-0.0157167,5e-06,,0.01
238.8777555110221,,0.182122,5e-06,-0.015297,5e-06,,0.01
258.71743486973946,,0.185967,5e-06,-0.0157701,5e-06,,0.01
278.5571142284569,,0.187654,5e-06,-0.0167085,5e-06,,0.01
298.3967935871744,,0.188233,5e-06,-0.0178758,5e-06,,0.01
318.2364729458918,,0.188294,5e-06,-0.0191575,5e-06,,0.01
338.07615230460925,,0.188111,5e-06,-0.0204698,5e-06,,0.01
357.9158316633267,,0.187806,5e-06,-0.0218049,5e-06,,0.01
377.7555110220441,,0.187448,5e-06,-0.0231324,5e-06,,0.01
397.5951903807616,,0.187058,5e-06,-0.0244523,5e-06,,0.01
417.434869739479,,0.186646,5e-06,-0.0257646,5e-06,,0.01
437.2745490981964,,0.186219,5e-06,-0.0270692,5e-06,,0.01
457.11422845691385,,0.185769,5e-06,-0.0283662,5e-06,,0.01
476.9539078156313,,0.185311,5e-06,-0.0296479,5e-06,,0.01
496.7935871743487,,0.184838,5e-06,-0.0309373,5e-06,,0.01
516.6332665330661,,0.184342,5e-06,-0.0322192,5e-06,,0.01
536.4729458917836,,0.183839,5e-06,-0.0334857,5e-06,,0.01
556.312625250501,,0.18332,5e-06,-0.0347216,5e-06,,0.01
576.1523046092185,,0.182794,5e-06,-0.0359728,5e-06,,0.01
595.991983967936,,0.182252,5e-06,-0.0371859,5e-06,,0.01
615.8316633266534,,0.181687,5e-06,-0.0384066,5e-06,,0.01
635.6713426853707,,0.181115,5e-06,-0.0396121,5e-06,,0.01
655.5110220440882,,0.180528,5e-06,-0.0407946,5e-06,,0.01
675.3507014028056,,0.17994,5e-06,-0.0419772,5e-06,,0.01
695.1903807615231,,0.179322,5e-06,-0.0431521,5e-06,,0.01
715.0300601202405,,0.178697,5e-06,-0.0443194,5e-06,,0.01
734.869739478958,,0.178056,5e-06,-0.0454638,5e-06,,0.01
754.7094188376755,,0.177407,5e-06,-0.0465853,5e-06,,0.01
774.5490981963928,,0.176744,5e-06,-0.0477068,5e-06,,0.01
794.3887775551103,,0.176064,5e-06,-0.0488131,5e-06,,0.01
814.2284569138277,,0.175378,5e-06,-0.0499117,5e-06,,0.01
834.0681362725452,,0.174668,5e-06,-0.0509951,5e-06,,0.01
853.9078156312626,,0.173951,5e-06,-0.0520709,5e-06,,0.01
873.74749498998,,0.173226,5e-06,-0.0531313,5e-06,,0.01
893.5871743486974,,0.172486,5e-06,-0.0541689,5e-06,,0.01
913.4268537074148,,0.171739,5e-06,-0.0551989,5e-06,,0.01
933.2665330661324,,0.170983,5e-06,-0.056206,5e-06,,0.01
953.1062124248498,,0.17022,5e-06,-0.0572054,5e-06,,0.01
972.9458917835672,,0.16945,5e-06,-0.058182,5e-06,,0.01
992.7855711422848,,0.168672,5e-06,-0.0591509,5e-06,,0.01
1012.625250501002,,0.167878,5e-06,-0.0601046,5e-06,,0.01
1032.4649298597196,,0.167077,5e-06,-0.061043,5e-06,,0.01
1052.304609218437,,0.166268,5e-06,-0.0619586,5e-06,,0.01
1072.1442885771544,,0.16546,5e-06,-0.0628743,5e-06,,0.01
1091.983967935872,,0.164636,5e-06,-0.063767,5e-06,,0.01
1111.8236472945891,,0.163812,5e-06,-0.064652,5e-06,,0.01
1131.6633266533067,,0.162972,5e-06,-0.0655141,5e-06,,0.01
