Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
100.0,,-0.00998694,5e-06,-0.0022278,5e-06,,0.01
103.30110036678892,,-0.00435641,5e-06,-0.00118256,5e-06,,0.01
106.60220073357786,,-0.000663761,5e-06,-0.000511173,5e-06,,0.01
109.9033011003668,,-6.8665e-05,5e-06,-0.000411989,5e-06,,0.01
113.20440146715572,,-1.52589e-05,5e-06,-0.000411989,5e-06,,0.01
116.50550183394463,,-7.62945e-06,5e-06,-0.000427248,5e-06,,0.01
119.80660220073358,,-1.52589e-05,5e-06,-0.000427248,5e-06,,0.01
123.10770256752252,,-1.52589e-05,5e-06,-0.000442507,5e-06,,0.01
126.40880293431144,,-1.52589e-05,5e-06,-0.000457766,5e-06,,0.01
129.70990330110038,,-1.52589e-05,5e-06,-0.000473024,5e-06,,0.01
133.0110036678893,,-1.52589e-05,5e-06,-0.000480654,5e-06,,0.01
136.3121040346782,,-2.28883e-05,5e-06,-0.000488285,5e-06,,0.01
139.61320440146716,,-2.28883e-05,5e-06,-0.000503544,5e-06,,0.01
142.9143047682561,,-2.28883e-05,5e-06,-0.000511173,5e-06,,0.01
146.21540513504502,,-2.28883e-05,5e-06,-0.000526432,5e-06,,0.01
149.51650550183393,,-1.52589e-05,5e-06,-0.000534061,5e-06,,0.01
152.81760586862288,,-7.62945e-06,5e-06,-0.000534061,5e-06,,0.01
156.11870623541182,,-3.05178e-05,5e-06,-0.000564579,5e-06,,0.01
159.41980660220074,,-3.05178e-05,5e-06,-0.000572208,5e-06,,0.01
162.72090696898965,,-3.05178e-05,5e-06,-0.000587467,5e-06,,0.01
166.0220073357786,,-3.81472e-05,5e-06,-0.000595096,5e-06,,0.01
169.32310770256754,,-3.81472e-05,5e-06,-0.000602726,5e-06,,0.01
172.62420806935646,,-3.81472e-05,5e-06,-0.000617985,5e-06,,0.01
175.92530843614537,,-3.81472e-05,5e-06,-0.000633243,5e-06,,0.01
179.22640880293432,,-4.57766e-05,5e-06,-0.000640873,5e-06,,0.01
182.5275091697233,,-4.57766e-05,5e-06,-0.000648502,5e-06,,0.01
185.8286095365121,,-4.57766e-05,5e-06,-0.000663761,5e-06,,0.01
189.1297099033011,,-4.57766e-05,5e-06,-0.00067902,5e-06,,0.01
192.43081027009003,,-5.3406e-05,5e-06,-0.000686649,5e-06,,0.01
195.7319106368789,,-5.3406e-05,5e-06,-0.000694279,5e-06,,0.01
199.0330110036679,,-5.3406e-05,5e-06,-0.000709537,5e-06,,0.01
202.3341113704568,,-5.3406e-05,5e-06,-0.000724796,5e-06,,0.01
205.63521173724573,,-5.3406e-05,5e-06,-0.000732426,5e-06,,0.01
208.9363121040347,,-5.3406e-05,5e-06,-0.000740055,5e-06,,0.01
212.2374124708236,,-5.3406e-05,5e-06,-0.000755314,5e-06,,0.01
215.53851283761253,,-6.10356e-05,5e-06,-0.000762943,5e-06,,0.01
218.83961320440147,,-6.10356e-05,5e-06,-0.000778202,5e-06,,0.01
222.1407135711904,,-6.10356e-05,5e-06,-0.000793461,5e-06,,0.01
225.44181393797933,,-6.8665e-05,5e-06,-0.000793461,5e-06,,0.01
228.74291430476825,,-6.8665e-05,5e-06,-0.00080872,5e-06,,0.01
232.0440146715572,,-6.8665e-05,5e-06,-0.000823978,5e-06,,0.01
235.3451150383461,,-6.8665e-05,5e-06,-0.000839237,5e-06,,0.01
238.64621540513505,,-7.62944e-05,5e-06,-0.000846867,5e-06,,0.01
241.947315771924,,-7.62944e-05,5e-06,-0.000854496,5e-06,,0.01
245.2484161387129,,-7.62944e-05,5e-06,-0.000869755,5e-06,,0.01
248.54951650550183,,-8.39238e-05,5e-06,-0.000885013,5e-06,,0.01
251.8506168722908,,-8.39238e-05,5e-06,-0.000892643,5e-06,,0.01
255.1517172390797,,-8.39238e-05,5e-06,-0.000900272,5e-06,,0.01
258.45281760586863,,-9.15532e-05,5e-06,-0.000915531,5e-06,,0.01
261.7539179726576,,-9.15532e-05,5e-06,-0.00092316,5e-06,,0.01
265.0550183394465,,-9.15532e-05,5e-06,-0.000938419,5e-06,,0.01
268.3561187062354,,-9.91826e-05,5e-06,-0.000953678,5e-06,,0.01
271.65721907302435,,-9.91826e-05,5e-06,-0.000953678,5e-06,,0.01
274.9583194398133,,-9.91826e-05,5e-06,-0.000968937,5e-06,,0.01
278.2594198066022,,-0.000106812,5e-06,-0.000984199,5e-06,,0.01
281.5605201733911,,-0.000106812,5e-06,-0.000991829,5e-06,,0.01
284.86162054018007,,-0.000106812,5e-06,-0.00100709,5e-06,,0.01
288.162720906969,,-0.000106812,5e-06,-0.00101472,5e-06,,0.01
291.463821273758,,-0.000106812,5e-06,-0.00102998,5e-06,,0.01
294.76492164054685,,-0.000106812,5e-06,-0.00103761,5e-06,,0.01
298.0660220073358,,-0.000114441,5e-06,-0.00105286,5e-06,,0.01
301.36712237412473,,-0.000114441,5e-06,-0.00106049,5e-06,,0.01
304.6682227409136,,-0.000122071,5e-06,-0.00106812,5e-06,,0.01
307.96932310770256,,-0.000122071,5e-06,-0.00108338,5e-06,,0.01
311.2704234744915,,-0.000122071,5e-06,-0.00109864,5e-06,,0.01
314.57152384128045,,-0.000129701,5e-06,-0.00110627,5e-06,,0.01
317.8726242080694,,-0.000129701,5e-06,-0.0011139,5e-06,,0.01
321.1737245748583,,-0.000129701,5e-06,-0.00112916,5e-06,,0.01
324.4748249416472,,-0.00013733,5e-06,-0.00113679,5e-06,,0.01
327.7759253084362,,-0.00013733,5e-06,-0.00115205,5e-06,,0.01
331.07702567522506,,-0.000144959,5e-06,-0.0011673,5e-06,,0.01
334.378126042014,,-0.000144959,5e-06,-0.0011673,5e-06,,0.01
337.67922640880295,,-0.000144959,5e-06,-0.00118256,5e-06,,0.01
340.9803267755919,,-0.000152589,5e-06,-0.00119782,5e-06,,0.01
344.28142714238083,,-0.000152589,5e-06,-0.00120545,5e-06,,0.01
347.5825275091697,,-0.000160218,5e-06,-0.00122071,5e-06,,0.01
350.88362787595867,,-0.000160218,5e-06,-0.00122834,5e-06,,0.01
354.1847282427476,,-0.000160218,5e-06,-0.0012436,5e-06,,0.01
357.4858286095365,,-0.000160218,5e-06,-0.00125123,5e-06,,0.01
360.78692897632544,,-0.000160218,5e-06,-0.00126649,5e-06,,0.01
364.0880293431144,,-0.000167848,5e-06,-0.00127412,5e-06,,0.01
367.3891297099033,,-0.000167848,5e-06,-0.00128175,5e-06,,0.01
370.6902300766923,,-0.000175477,5e-06,-0.001297,5e-06,,0.01
373.9913304434812,,-0.000175477,5e-06,-0.00130463,5e-06,,0.01
377.2924308102701,,-0.000175477,5e-06,-0.00131989,5e-06,,0.01
380.5935311770591,,-0.000183106,5e-06,-0.00132752,5e-06,,0.01
383.894631543848,,-0.000183106,5e-06,-0.00133515,5e-06,,0.01
387.1957319106369,,-0.000190736,5e-06,-0.00135041,5e-06,,0.01
390.4968322774258,,-0.000190736,5e-06,-0.00136567,5e-06,,0.01
393.7979326442148,,-0.000198365,5e-06,-0.0013733,5e-06,,0.01
397.0990330110037,,-0.000198365,5e-06,-0.00138093,5e-06,,0.01
400.4001333777926,,-0.000205995,5e-06,-0.00139619,5e-06,,0.01
403.7012337445816,,-0.000205995,5e-06,-0.00140382,5e-06,,0.01
407.0023341113705,,-0.000213624,5e-06,-0.00141907,5e-06,,0.01
410.3034344781594,,-0.000213624,5e-06,-0.0014267,5e-06,,0.01
413.6045348449483,,-0.000213624,5e-06,-0.00143433,5e-06,,0.01
416.90563521173726,,-0.000213624,5e-06,-0.00144959,5e-06,,0.01
420.2067355785262,,-0.000221253,5e-06,-0.00145722,5e-06,,0.01
423.5078359453152,,-0.000221253,5e-06,-0.00147248,5e-06,,0.01
426.808936312104,,-0.000228883,5e-06,-0.00148011,5e-06,,0.01
430.110036678893,,-0.000228883,5e-06,-0.00148774,5e-06,,0.01
433.4111370456819,,-0.000236512,5e-06,-0.001503,5e-06,,0.01
436.7122374124708,,-0.000236512,5e-06,-0.00151826,5e-06,,0.01
440.01333777925976,,-0.000244142,5e-06,-0.00152589,5e-06,,0.01
443.3144381460487,,-0.000244142,5e-06,-0.00153352,5e-06,,0.01
446.6155385128377,,-0.000251772,5e-06,-0.00154115,5e-06,,0.01
449.9166388796266,,-0.000251772,5e-06,-0.0015564,5e-06,,0.01
453.2177392464155,,-0.000251772,5e-06,-0.00156403,5e-06,,0.01
456.5188396132044,,-0.000259401,5e-06,-0.00157929,5e-06,,0.01
459.81993997999336,,-0.000267031,5e-06,-0.00158692,5e-06,,0.01
463.1210403467823,,-0.000267031,5e-06,-0.00159455,5e-06,,0.01
466.4221407135712,,-0.000267031,5e-06,-0.00160981,5e-06,,0.01
469.72324108036014,,-0.000267031,5e-06,-0.00162507,5e-06,,0.01
473.0243414471491,,-0.00027466,5e-06,-0.0016327,5e-06,,0.01
476.325441813938,,-0.00027466,5e-06,-0.00164033,5e-06,,0.01
479.6265421807269,,-0.000282289,5e-06,-0.00165559,5e-06,,0.01
482.9276425475159,,-0.000282289,5e-06,-0.00166322,5e-06,,0.01
486.2287429143048,,-0.000289919,5e-06,-0.00167847,5e-06,,0.01
489.5298432810937,,-0.000297548,5e-06,-0.0016861,5e-06,,0.01
492.8309436478826,,-0.000297548,5e-06,-0.00169373,5e-06,,0.01
496.1320440146716,,-0.000305178,5e-06,-0.00170136,5e-06,,0.01
499.4331443814605,,-0.000305178,5e-06,-0.00171662,5e-06,,0.01
502.7342447482495,,-0.000312807,5e-06,-0.00173188,5e-06,,0.01
