Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
100.0,,0.0117875,5e-06,-0.0326464,5e-06,,0.01
119.83967935871743,,0.0203935,5e-06,-0.0327532,5e-06,,0.01
139.67935871743487,,0.0517046,5e-06,-0.0307084,5e-06,,0.01
159.5190380761523,,0.0922627,5e-06,-0.0277711,5e-06,,0.01
179.35871743486973,,0.126519,5e-06,-0.025757,5e-06,,0.01
199.1983967935872,,0.149362,5e-06,-0.0252305,5e-06,,0.01
219.03807615230463,,0.162263,5e-06,-0.0259248,5e-06,,0.01
238.8777555110221,,0.168489,5e-06,-0.027382,5e-06,,0.01
258.71743486973946,,0.1708,5e-06,-0.0292131,5e-06,,0.01
278.5571142284569,,0.171006,5e-06,-0.0311815,5e-06,,0.01
298.3967935871744,,0.170144,5e-06,-0.0331347,5e-06,,0.01
318.2364729458918,,0.168763,5e-06,-0.0350115,5e-06,,0.01
338.07615230460925,,0.167115,5e-06,-0.0367739,5e-06,,0.01
357.9158316633267,,0.16536,5e-06,-0.0384142,5e-06,,0.01
377.7555110220441,,0.163583,5e-06,-0.0399096,5e-06,,0.01
397.5951903807616,,0.161798,5e-06,-0.04126,5e-06,,0.01
417.434869739479,,0.160035,5e-06,-0.0424883,5e-06,,0.01
437.2745490981964,,0.158296,5e-06,-0.0435946,5e-06,,0.01
457.11422845691385,,0.156594,5e-06,-0.0445864,5e-06,,0.01
476.9539078156313,,0.154939,5e-06,-0.0454867,5e-06,,0.01
496.7935871743487,,0.153321,5e-06,-0.0463107,5e-06,,0.01
516.6332665330661,,0.15175,5e-06,-0.0470355,5e-06,,0.01
536.4729458917836,,0.150231,5e-06,-0.0476916,5e-06,,0.01
556.312625250501,,0.148774,5e-06,-0.0482714,5e-06,,0.01
576.1523046092185,,0.14737,5e-06,-0.0487902,5e-06,,0.01
595.991983967936,,0.146005,5e-06,-0.0492556,5e-06,,0.01
615.8316633266534,,0.144685,5e-06,-0.0496905,5e-06,,0.01
635.6713426853707,,0.143403,5e-06,-0.0500948,5e-06,,0.01
655.5110220440882,,0.142167,5e-06,-0.0504763,5e-06,,0.01
675.3507014028056,,0.140969,5e-06,-0.050812,5e-06,,0.01
695.1903807615231,,0.13984,5e-06,-0.0511248,5e-06,,0.01
715.0300601202405,,0.138757,5e-06,-0.0513995,5e-06,,0.01
734.869739478958,,0.137704,5e-06,-0.0516589,5e-06,,0.01
754.7094188376755,,0.136704,5e-06,-0.051903,5e-06,,0.01
774.5490981963928,,0.135736,5e-06,-0.0521243,5e-06,,0.01
794.3887775551103,,0.134797,5e-06,-0.0523455,5e-06,,0.01
814.2284569138277,,0.133889,5e-06,-0.0525591,5e-06,,0.01
834.0681362725452,,0.132989,5e-06,-0.0527651,5e-06,,0.01
853.9078156312626,,0.132142,5e-06,-0.0529711,5e-06,,0.01
873.74749498998,,0.131303,5e-06,-0.0531619,5e-06,,0.01
893.5871743486974,,0.130502,5e-06,-0.0533526,5e-06,,0.01
913.4268537074148,,0.129739,5e-06,-0.0535357,5e-06,,0.01
933.2665330661324,,0.129006,5e-06,-0.0537188,5e-06,,0.01
953.1062124248498,,0.128282,5e-06,-0.0538943,5e-06,,0.01
972.9458917835672,,0.127564,5e-06,-0.0540774,5e-06,,0.01
992.7855711422848,,0.126863,5e-06,-0.0542529,5e-06,,0.01
1012.625250501002,,0.126176,5e-06,-0.0544436,5e-06,,0.01
1032.4649298597196,,0.125497,5e-06,-0.0546267,5e-06,,0.01
1052.304609218437,,0.124825,5e-06,-0.0548174,5e-06,,0.01
1072.1442885771544,,0.124169,5e-06,-0.0550005,5e-06,,0.01
1091.983967935872,,0.123543,5e-06,-0.0551913,5e-06,,0.01
1111.8236472945891,,0.122948,5e-06,-0.0553744,5e-06,,0.01
1131.6633266533067,,0.122368,5e-06,-0.0555575,5e-06,,0.01
1151.503006012024,,0.121796,5e-06,-0.0557406,5e-06,,0.01
1171.3426853707415,,0.121216,5e-06,-0.055939,5e-06,,0.01
1191.182364729459,,0.120636,5e-06,-0.0561297,5e-06,,0.01
1211.0220440881765,,0.120064,5e-06,-0.0563204,5e-06,,0.01
1230.8617234468938,,0.119507,5e-06,-0.0565188,5e-06,,0.01
1250.7014028056112,,0.11895,5e-06,-0.0567172,5e-06,,0.01
1270.5410821643288,,0.118401,5e-06,-0.0569079,5e-06,,0.01
1290.3807615230462,,0.117859,5e-06,-0.0570986,5e-06,,0.01
1310.2204408817636,,0.117325,5e-06,-0.0573046,5e-06,,0.01
1330.060120240481,,0.116807,5e-06,-0.057503,5e-06,,0.01
1349.8997995991986,,0.116295,5e-06,-0.0577013,5e-06,,0.01
1369.739478957916,,0.115792,5e-06,-0.0579073,5e-06,,0.01
1389.5791583166333,,0.115288,5e-06,-0.0581057,5e-06,,0.01
1409.418837675351,,0.114792,5e-06,-0.0583117,5e-06,,0.01
1429.2585170340683,,0.114319,5e-06,-0.0585253,5e-06,,0.01
1449.0981963927857,,0.113854,5e-06,-0.0587313,5e-06,,0.01
