Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
30.0,0.0005742586666666,1.2953904488179967e-05,0.0057782156666666,0.0001273534974701,3.0,0.01
33.947895791583164,0.0004014590666666,1.11092348189343e-05,0.0040691746666666,0.0001102033950697,3.0,0.005
37.895791583166336,0.0002658067666666,8.20583424027617e-06,0.0027230019999999,8.143147869630436e-05,3.0,0.005
41.8436873747495,0.0001680383333333,5.724061770766942e-06,0.0017538743333333,5.642558359960094e-05,3.0,0.002
45.79158316633266,0.00010214292,3.7762280438200936e-06,0.0011066316666666,3.6876833747248735e-05,3.0,0.002
49.73947895791584,5.8641313333333336e-05,2.397828325900104e-06,0.0006849107666666,2.3051710928089964e-05,3.0,0.001
53.687374749499,3.181616333333333e-05,2.0950809873738907e-06,0.0004332263,1.9311253593263524e-05,1.0,0.0005
57.63527054108216,1.388795e-05,1.3601895940762572e-06,0.0002721388,1.1844017669693003e-05,1.0,0.0005
61.58316633266533,1.5144630213333334e-06,9.305219688048164e-07,0.0001687567666666,7.353949771759087e-06,1.0,0.0002
65.5310621242485,-6.694626666666667e-06,6.543160064236715e-07,0.0001080562666666,4.43447950296562e-06,1.0,0.0002
69.47895791583167,-1.2989026666666668e-05,4.911393433866017e-07,6.973937666666668e-05,2.675082377383711e-06,1.0,0.0001
73.42685370741484,-1.7839966666666665e-05,4.280235829432246e-07,4.700587666666667e-05,1.657680398364601e-06,1.0,5e-05
77.374749498998,-2.187787333333333e-05,3.501105539048424e-07,3.401244e-05,9.072177620248258e-07,1.0,5e-05
81.32264529058116,-2.556418e-05,3.3179268768313735e-07,2.642217e-05,5.231446199984604e-07,1.0,5e-05
85.27054108216433,-2.909625e-05,3.24266935049916e-07,2.220763e-05,2.771811948287015e-07,1.0,5e-05
89.21843687374749,-3.259061666666666e-05,3.2583307595897765e-07,2.011706e-05,1.228521783825316e-07,1.0,5e-05
93.16633266533066,-3.616094333333334e-05,3.372510239009248e-07,1.9389266666666664e-05,2.4442263033979226e-08,1.0,5e-05
97.11422845691384,-3.988728333333333e-05,3.521668828678936e-07,1.947071666666667e-05,3.4799943326901645e-08,1.0,5e-05
101.062124248497,-4.375072666666667e-05,3.614051336412118e-07,2.0073966666666668e-05,7.403747849719283e-08,1.0,5e-05
