Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
2000.0,0.008182204666666667,2.759309978156928e-06,0.024350983333333336,9.387050773390512e-06,0.03,0.05
1996.052104208417,0.008147618,1.2185929153467788e-05,0.024315140000000002,8.964619344958287e-06,0.03,0.05
1992.1042084168337,0.008104257,1.2102403934756068e-05,0.024287613333333336,8.39685390819459e-06,0.03,0.05
1988.1563126252506,0.008062741666666668,1.201280569041042e-05,0.024258246666666664,8.07579648634675e-06,0.03,0.05
1984.2084168336673,0.008020904666666667,1.1651860719311184e-05,0.024229290000000004,7.1550145585691364e-06,0.03,0.05
1980.2605210420843,0.007978625333333333,1.1654016684769538e-05,0.024200419999999997,8.114940952753168e-06,0.03,0.05
1976.312625250501,0.007935964666666665,1.2135626266859714e-05,0.024172063333333334,7.99647769680879e-06,0.03,0.05
1972.364729458918,0.007893049666666664,1.110379769368213e-05,0.02414352333333333,9.02606164885296e-06,0.03,0.05
1968.4168336673347,0.007851406000000002,1.1699243451323302e-05,0.02411479,7.773088189388338e-06,0.03,0.05
1964.4689378757516,0.007809616333333332,1.1379333455386895e-05,0.024085230000000003,8.118462498117414e-06,0.03,0.05
1960.5210420841684,0.007766563333333335,1.1275875230873388e-05,0.024057453333333333,8.420282391675332e-06,0.03,0.05
1956.5731462925853,0.0077234576666666685,1.2556980444712391e-05,0.02402675333333333,8.057283799285466e-06,0.03,0.05
1952.625250501002,0.007681558666666667,1.1157101694536157e-05,0.023997706666666667,8.383433399005256e-06,0.03,0.05
1948.677354709419,0.007639595333333332,1.2047243040998637e-05,0.023968923333333333,8.094923649355131e-06,0.03,0.05
1944.7294589178357,0.007597953333333334,1.0886830372314847e-05,0.023938473333333335,7.89957523471245e-06,0.03,0.05
1940.7815631262526,0.007555482333333332,1.2456408975124192e-05,0.023909550000000005,8.769711131692492e-06,0.03,0.05
1936.8336673346694,0.0075143480000000006,1.177130250510387e-05,0.02387942333333333,8.264691296244064e-06,0.03,0.05
1932.8857715430863,0.007470606000000001,1.2389154558187869e-05,0.023850693333333332,8.337742833378268e-06,0.03,0.05
1928.937875751503,0.007427183,1.1331681296259617e-05,0.023821199999999994,8.55160803591949e-06,0.03,0.05
1924.98997995992,0.007386618333333333,1.2134646563547645e-05,0.023788496666666662,8.156326106498802e-06,0.03,0.05
1921.0420841683367,0.007343069,1.1333567355427033e-05,0.023759819999999997,8.676919576286076e-06,0.03,0.05
1917.0941883767537,0.007301804333333333,1.173441709483499e-05,0.023729433333333338,8.817608645331094e-06,0.03,0.05
1913.1462925851704,0.007258634333333334,1.1743862136830702e-05,0.023699049999999996,9.40917105806905e-06,0.03,0.05
1909.1983967935873,0.007217118999999999,1.1402845068958414e-05,0.02366778333333334,8.825458754208166e-06,0.03,0.05
1905.250501002004,0.007175158666666667,1.148689245280128e-05,0.02363708333333333,8.175617543783588e-06,0.03,0.05
