Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
2000.0,-0.00014752843333333331,2.759916613273346e-06,-0.00026782923333333337,6.2406213402370616e-06,0.03,0.0005
1996.052104208417,-0.00014923013333333334,1.484306197820672e-07,-0.00027214670000000004,5.976796800962669e-08,0.03,0.0005
1992.1042084168337,-0.0001486608,8.168614733641336e-08,-0.00027192613333333333,9.846039248798906e-08,0.03,0.0005
1988.1563126252506,-0.00014822063333333333,9.607756704293204e-08,-0.0002715796333333333,7.189783646876141e-08,0.03,0.0005
1984.2084168336673,-0.0001477071,8.470708352906737e-08,-0.00027135776666666663,7.685687274985885e-08,0.03,0.0005
1980.2605210420843,-0.00014733853333333328,1.1500803836640567e-07,-0.0002709875,6.409667178047531e-08,0.03,0.0005
1976.312625250501,-0.00014689163333333338,9.645602913014483e-08,-0.00027076080000000005,6.015945478476882e-08,0.03,0.0005
1972.364729458918,-0.0001464814333333333,1.1741796663581356e-07,-0.00027048876666666666,6.363734927086437e-08,0.03,0.0005
1968.4168336673347,-0.0001459895333333333,1.1849633843382105e-07,-0.0002702227,6.682073031627507e-08,0.03,0.0005
1964.4689378757516,-0.00014552159999999998,9.99961999277953e-08,-0.00026992049999999994,6.132087735836805e-08,0.03,0.0005
1960.5210420841684,-0.00014498823333333332,1.6193984136778238e-07,-0.00026953200000000006,7.810463067791363e-08,0.03,0.0005
1956.5731462925853,-0.0001443804333333333,1.0450316847934626e-07,-0.0002692846666666667,6.992774048178809e-08,0.03,0.0005
1952.625250501002,-0.00014400663333333333,9.903618306233091e-08,-0.0002689438,6.867721601812833e-08,0.03,0.0005
1948.677354709419,-0.00014341959999999998,1.2845481695911837e-07,-0.00026849893333333335,1.1813493226909012e-07,0.03,0.0005
1944.7294589178357,-0.00014311949999999996,1.42641917635272e-07,-0.0002682873333333333,4.9818559682993105e-08,0.03,0.0005
1940.7815631262526,-0.00014264779999999995,6.650132830753792e-08,-0.00026815430000000004,7.688222594766042e-08,0.03,0.0005
1936.8336673346694,-0.0001422565666666666,7.68976303637213e-08,-0.0002678850666666667,8.226620745414718e-08,0.03,0.0005
1932.8857715430863,-0.00014186009999999995,1.3379520419905228e-07,-0.00026753150000000006,4.2241172647862423e-08,0.03,0.0005
1928.937875751503,-0.00014133046666666666,1.2496872497637823e-07,-0.0002672967,1.0114845525265533e-07,0.03,0.0005
1924.98997995992,-0.0001409014333333333,1.275781285679047e-07,-0.0002670037333333333,9.567128908693374e-08,0.03,0.0005
1921.0420841683367,-0.00014038453333333332,1.3334034981538364e-07,-0.00026667986666666674,4.970897526828007e-08,0.03,0.0005
1917.0941883767537,-0.00013991476666666664,8.368101470598047e-08,-0.0002663977666666667,9.696483325870365e-08,0.03,0.0005
1913.1462925851704,-0.00013951953333333334,1.0112162094340797e-07,-0.00026603943333333333,7.683344902377638e-08,0.03,0.0005
1909.1983967935873,-0.00013899200000000003,9.416722713697275e-08,-0.00026577586666666665,6.560728279357216e-08,0.03,0.0005
1905.250501002004,-0.00013856793333333334,1.103485185924846e-07,-0.00026548706666666667,9.213936304437524e-08,0.03,0.0005
1901.302605210421,-0.0001380682,1.2910729388122756e-07,-0.00026512153333333333,4.598313700574006e-08,0.03,0.0005
1897.3547094188377,-0.00013759723333333333,1.3416598757592395e-07,-0.0002648370333333333,5.3678352764924855e-08,0.03,0.0005
1893.4068136272547,-0.00013711146666666666,9.553977647497464e-08,-0.00026452790000000006,5.5850604293961396e-08,0.03,0.0005
1889.4589178356714,-0.00013673396666666668,1.055204508877566e-07,-0.00026426893333333327,9.505645106403492e-08,0.03,0.0005
1885.5110220440883,-0.0001362532,1.4574164355690138e-07,-0.00026395386666666664,6.84342669200895e-08,0.03,0.0005
1881.563126252505,-0.00013570473333333332,9.797854640458686e-08,-0.00026363516666666665,7.453682907723833e-08,0.03,0.0005
1877.615230460922,-0.0001352895,1.11438697647329e-07,-0.0002632956333333333,6.667107485424884e-08,0.03,0.0005
1873.6673346693387,-0.0001348367,7.741022757577583e-08,-0.00026302436666666664,8.85160939540912e-08,0.03,0.0005
1869.7194388777557,-0.0001343906333333333,8.78492964621134e-08,-0.0002627282666666666,9.678565091078344e-08,0.03,0.0005
1865.7715430861724,-0.00013394739999999998,1.440131012558709e-07,-0.0002623118333333333,7.685574510442244e-08,0.03,0.0005
1861.8236472945894,-0.00013347653333333333,1.4564196586911828e-07,-0.0002620844333333334,9.528192669942475e-08,0.03,0.0005
1857.875751503006,-0.00013299473333333334,1.469813896004832e-07,-0.0002616889333333333,6.115659317595253e-08,0.03,0.0005
1853.927855711423,-0.00013256956666666669,9.97365474081024e-08,-0.00026144566666666666,8.6257495648529e-08,0.03,0.0005
1849.9799599198398,-0.00013205503333333334,1.5624670307632827e-07,-0.00026115456666666665,7.26565818690109e-08,0.03,0.0005
1846.0320641282565,-0.00013163866666666667,1.199425788543104e-07,-0.00026082373333333333,1.0439474231120314e-07,0.03,0.0005
1842.0841683366734,-0.0001311491333333333,1.1499557479408461e-07,-0.0002605020666666666,7.68162019946884e-08,0.03,0.0005
1838.1362725450902,-0.00013071773333333332,9.827747566060788e-08,-0.00026011176666666667,5.269641564871954e-08,0.03,0.0005
1834.188376753507,-0.00013027276666666664,1.3818723610457752e-07,-0.00025979383333333335,4.8091637064630465e-08,0.03,0.0005
1830.2404809619238,-0.00012975543333333333,9.815283433955986e-08,-0.0002595522333333333,9.091559577737994e-08,0.03,0.0005
1826.2925851703408,-0.00012931423333333334,1.2048808608691856e-07,-0.0002591278333333334,7.228788895028135e-08,0.03,0.0005
1822.3446893787575,-0.0001288294333333333,1.1860766791775687e-07,-0.00025885286666666666,5.3149934671219144e-08,0.03,0.0005
1818.3967935871744,-0.00012841736666666667,1.0840771292773155e-07,-0.00025848853333333336,7.305967119797061e-08,0.03,0.0005
1814.4488977955912,-0.00012792533333333333,1.3312759126325104e-07,-0.00025815059999999995,6.811832841950193e-08,0.03,0.0005
1810.5010020040081,-0.00012746730000000003,1.3496447680778657e-07,-0.0002577839333333333,4.873392612499315e-08,0.03,0.0005
1806.5531062124248,-0.0001269427,9.796296919414809e-08,-0.0002575048666666667,6.191969709946052e-08,0.03,0.0005
1802.6052104208418,-0.00012644333333333333,1.1840533021035072e-07,-0.00025717089999999996,8.590822622621255e-08,0.03,0.0005
1798.6573146292585,-0.00012605183333333335,1.0286498702452372e-07,-0.00025683393333333335,4.4108149914592035e-08,0.03,0.0005
1794.7094188376755,-0.00012561786666666667,1.2282039280546656e-07,-0.00025654813333333336,8.354828278040703e-08,0.03,0.0005
1790.7615230460922,-0.00012511489999999996,1.0108127093252133e-07,-0.0002561766333333333,7.93471206506955e-08,0.03,0.0005
1786.8136272545091,-0.00012469863333333333,1.0446577855397428e-07,-0.00025586379999999995,4.9323016939357576e-08,0.03,0.0005
1782.8657314629259,-0.00012425066666666668,1.0496232128191706e-07,-0.00025554003333333334,1.0994983199422097e-07,0.03,0.0005
1778.9178356713428,-0.00012375116666666668,1.0335346578073133e-07,-0.00025514566666666667,8.548892065967709e-08,0.03,0.0005
1774.9699398797595,-0.00012336176666666665,1.414646441891261e-07,-0.00025479889999999996,5.7048137568198254e-08,0.03,0.0005
1771.0220440881765,-0.0001228547333333333,1.0987324009461313e-07,-0.0002545324666666666,1.0734888086152479e-07,0.03,0.0005
1767.0741482965932,-0.00012237723333333332,1.234713687009599e-07,-0.00025416783333333335,1.0791017354983786e-07,0.03,0.0005
1763.1262525050101,-0.0001219207,1.152594609276541e-07,-0.0002538113666666667,1.0393314624742282e-07,0.03,0.0005
1759.1783567134269,-0.00012144973333333333,1.0078688186244878e-07,-0.0002534675333333333,1.0868631724165956e-07,0.03,0.0005
1755.2304609218438,-0.00012105553333333333,1.0802152048961822e-07,-0.00025310416666666667,1.0296895432874059e-07,0.03,0.0005
1751.2825651302605,-0.00012055473333333333,1.0489357569566498e-07,-0.00025278123333333333,8.375188886758231e-08,0.03,0.0005
1747.3346693386775,-0.00011999746666666666,8.697843921851448e-08,-0.0002524782,1.410447683066125e-07,0.03,0.0005
1743.3867735470942,-0.00011959616666666667,9.119103878976005e-08,-0.00025206683333333334,7.443255709403344e-08,0.03,0.0005
1739.4388777555112,-0.00011916313333333332,9.530048385093427e-08,-0.0002516696,9.24938196133474e-08,0.03,0.0005
1735.4909819639279,-0.00011873016666666666,1.3821434641728004e-07,-0.0002513207999999999,6.784266111132919e-08,0.03,0.0005
1731.5430861723448,-0.00011824816666666668,1.2058001032048878e-07,-0.00025097790000000003,6.432176925426561e-08,0.03,0.0005
1727.5951903807616,-0.00011783466666666665,1.1103943243530877e-07,-0.0002506564666666667,8.547308868228194e-08,0.03,0.0005
1723.6472945891785,-0.00011741050000000001,1.342109657715558e-07,-0.00025024190000000004,6.378158041315905e-08,0.03,0.0005
1719.6993987975952,-0.00011697743333333333,1.406522148974386e-07,-0.0002499479333333333,7.794525144113736e-08,0.03,0.0005
1715.7515030060122,-0.00011653366666666666,1.6880113217103128e-07,-0.00024957859999999996,6.810266759338235e-08,0.03,0.0005
1711.803607214429,-0.0001160616,1.4843395837880091e-07,-0.00024920776666666666,7.79536970828838e-08,0.03,0.0005
1707.8557114228458,-0.00011554290000000001,9.632872537999011e-08,-0.00024887193333333337,8.087065117966151e-08,0.03,0.0005
1703.9078156312626,-0.00011509109999999998,1.2733508288501645e-07,-0.00024854343333333335,8.878726760571493e-08,0.03,0.0005
1699.9599198396795,-0.00011460139999999998,1.1897495534775386e-07,-0.0002481597,9.69677437776752e-08,0.03,0.0005
1696.0120240480962,-0.00011414343333333335,1.2881270209968398e-07,-0.00024777149999999994,9.597143672295116e-08,0.03,0.0005
1692.0641282565132,-0.00011368753333333332,1.0584477103549196e-07,-0.00024740773333333335,1.0111674221194234e-07,0.03,0.0005
1688.11623246493,-0.00011320853333333333,1.0197638070760522e-07,-0.00024708213333333334,1.2552628764082666e-07,0.03,0.0005
1684.1683366733469,-0.00011280023333333332,1.013491270586747e-07,-0.0002466845333333334,1.0335303038078139e-07,0.03,0.0005
1680.2204408817636,-0.00011234536666666666,1.2236107314919301e-07,-0.00024630206666666665,7.56473984277622e-08,0.03,0.0005
1676.2725450901805,-0.00011191916666666666,9.988929983848088e-08,-0.00024586783333333336,7.601450884899778e-08,0.03,0.0005
1672.3246492985973,-0.00011144026666666668,1.551040367695921e-07,-0.00024549056666666667,8.374671469509825e-08,0.03,0.0005
1668.3767535070142,-0.00011089793333333334,1.1293388429617752e-07,-0.0002452124,1.0811093068387436e-07,0.03,0.0005
1664.428857715431,-0.00011052036666666668,1.499272008527983e-07,-0.00024475276666666667,5.5270054178450766e-08,0.03,0.0005
1660.4809619238479,-0.0001100604,1.7117663391946868e-07,-0.00024439676666666664,8.57187973680367e-08,0.03,0.0005
1656.5330661322646,-0.00010954373333333331,9.187489077846836e-08,-0.00024406823333333332,9.499918713102496e-08,0.03,0.0005
1652.5851703406815,-0.00010910689999999998,1.3607726971590018e-07,-0.00024367159999999998,9.878785350436473e-08,0.03,0.0005
1648.6372745490983,-0.00010824953333333333,2.544221863141826e-07,-0.0002431362333333333,1.3470453675442223e-07,0.03,0.0005
1644.689378757515,-0.00010810236666666669,4.210263913607165e-08,-0.00024286490000000003,4.754040386870804e-08,0.03,0.0005
1640.741482965932,-0.00010776253333333334,1.2729826742296455e-07,-0.00024252936666666666,8.947457118583537e-08,0.03,0.0005
1636.7935871743487,-0.00010730863333333332,9.899039796308001e-08,-0.0002421636,9.901838213180135e-08,0.03,0.0005
1632.8456913827656,-0.0001068954666666667,1.21120527666546e-07,-0.0002417584,7.74379751801429e-08,0.03,0.0005
1628.8977955911823,-0.0001064176,1.1174930275695838e-07,-0.00024140473333333337,1.2162454065232125e-07,0.03,0.0005
1624.9498997995993,-0.0001060244,1.131643642377486e-07,-0.00024098863333333332,5.395089330946091e-08,0.03,0.0005
1621.002004008016,-0.00010555943333333334,1.0763075252403057e-07,-0.00024070836666666663,1.0360967887005547e-07,0.03,0.0005
1617.054108216433,-0.00010505953333333332,1.139659988281084e-07,-0.00024026426666666666,1.209357772630673e-07,0.03,0.0005
1613.1062124248497,-0.00010466233333333333,1.1725849886279373e-07,-0.00023981423333333332,7.150649543145368e-08,0.03,0.0005
1609.1583166332666,-0.00010416446666666667,1.2000409252280685e-07,-0.00023943276666666668,7.424449848679241e-08,0.03,0.0005
1605.2104208416833,-0.00010367383333333331,7.23063313656259e-08,-0.00023912463333333335,1.0596744258916282e-07,0.03,0.0005
1601.2625250501003,-0.00010326063333333333,9.949756557602548e-08,-0.0002386350333333333,9.065851066257337e-08,0.03,0.0005
1597.314629258517,-0.00010278753333333334,1.1407270586000082e-07,-0.00023822576666666668,7.611994190457624e-08,0.03,0.0005
1593.366733466934,-0.00010233453333333332,1.0984981666904283e-07,-0.00023787809999999997,1.232678249449817e-07,0.03,0.0005
1589.4188376753507,-0.00010193836666666667,1.1807835910482836e-07,-0.0002374866666666666,8.434071113973387e-08,0.03,0.0005
1585.4709418837676,-0.00010153513333333333,1.1374261392381815e-07,-0.00023711806666666663,9.047207058289179e-08,0.03,0.0005
1581.5230460921844,-0.00010114256666666668,1.154358937053617e-07,-0.00023672666666666668,8.378716422513266e-08,0.03,0.0005
