Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
50080.0,0.026438660000000006,2.433187210224138e-06,0.05046565999999999,1.809161868563355e-06,0.001,0.1
50080.2,0.02678627333333333,4.30781718378218e-06,0.05096688,6.425646530375916e-06,0.001,0.1
50080.4,0.027134986666666666,2.891220426663189e-06,0.05149417666666666,7.176056639191728e-06,0.001,0.1
50080.6,0.027501060000000004,3.4550060299029927e-06,0.05202788333333333,6.738154214784945e-06,0.001,0.1
50080.8,0.02788247666666667,3.619915591404456e-06,0.052571226666666665,6.766926103401212e-06,0.001,0.1
50081.0,0.02826751,6.513644653085031e-06,0.053128256666666665,5.3347716810453885e-06,0.001,0.1
50081.2,0.028656736666666658,7.628345531998083e-06,0.05370494,6.277080000552647e-06,0.001,0.1
50081.4,0.029051703333333335,8.775324622042456e-06,0.054292136666666664,6.0733562019326595e-06,0.001,0.1
50081.6,0.029472113333333334,8.086356135835246e-06,0.054896893333333335,5.578884794971651e-06,0.001,0.1
50081.8,0.029907686666666662,2.2906670547143517e-06,0.055509423333333335,5.076854888172678e-06,0.001,0.1
50082.0,0.030358250000000003,8.835939867005638e-06,0.056134136666666674,6.886531944471523e-06,0.001,0.1
50082.2,0.030818669999999996,6.57196824906068e-06,0.05677960000000001,5.698128347681684e-06,0.001,0.1
50082.4,0.03128851999999999,8.598503745807405e-06,0.057439893333333325,7.299311991931428e-06,0.001,0.1
50082.6,0.03177972666666666,1.089023823838972e-05,0.05811703666666667,1.007288384172396e-05,0.001,0.1
50082.8,0.03229114666666667,5.481589388328054e-06,0.058807483333333334,1.2658859436071917e-05,0.001,0.1
50083.0,0.03280102333333333,6.731056545760701e-06,0.059523259999999995,1.0505509665567437e-05,0.001,0.1
50083.2,0.03334704333333334,7.579475942012813e-06,0.060259363333333336,1.1211020867383071e-05,0.001,0.1
50083.4,0.03390401666666667,7.134193873327238e-06,0.061003233333333344,1.2256218376354178e-05,0.001,0.1
