Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
50240.0,-0.0005244292333333,1.9078359177057766e-07,-0.0013906366666666,1.559344591665294e-07,0.001,0.002
50240.2,-0.0005212662,1.749785510664953e-07,-0.0013823479999999,1.8421726303473125e-07,0.001,0.002
50240.4,-0.0005182107,1.7815651358660566e-07,-0.0013741463333333,2.0173387309907478e-07,0.001,0.002
50240.6,-0.0005148568333333,1.0386692875448381e-07,-0.0013660896666666,1.5634328326545569e-07,0.001,0.002
50240.8,-0.0005118367666666,2.0343462231280657e-07,-0.0013578319999999,1.3833293172634416e-07,0.001,0.002
50241.0,-0.0005087572,1.5961900471642844e-07,-0.001349614,1.6728418933056784e-07,0.001,0.002
50241.2,-0.0005055068,1.531514283315675e-07,-0.001341626,1.9137397942248442e-07,0.001,0.002
50241.4,-0.0005024311666666,1.6670514555813418e-07,-0.0013334999999999,1.3885243966170318e-07,0.001,0.002
50241.6,-0.0004991051333333,1.7316191523799258e-07,-0.0013256329999999,1.2450301201172752e-07,0.001,0.002
50241.8,-0.0004959977666666,1.634386089297438e-07,-0.0013175139999999,1.7928747864808097e-07,0.001,0.002
50242.0,-0.0004927633333333,1.9858706458936187e-07,-0.001309544,1.7362027531369265e-07,0.001,0.002
50242.2,-0.0004896597333333,1.6217026717483746e-07,-0.0013015569999999,1.2938701635018462e-07,0.001,0.002
50242.4,-0.0004866936666666,1.93057043959091e-07,-0.00129365,1.582403235587836e-07,0.001,0.002
50242.6,-0.000483491,1.830892314328445e-07,-0.0012857359999999,1.341044369138949e-07,0.001,0.002
50242.8,-0.0004804470666666,1.4426548058662225e-07,-0.001277798,1.252836781069455e-07,0.001,0.002
50243.0,-0.0004773238,1.8440451910586498e-07,-0.0012699603333333,1.47749412482373e-07,0.001,0.002
50243.2,-0.0004743793666666,2.353262251051157e-07,-0.0012621416666666,1.509322879822599e-07,0.001,0.002
50243.4,-0.0004712283,1.8954298545009938e-07,-0.001254214,1.6536021286872654e-07,0.001,0.002
50243.6,-0.0004682878333333,1.7653424282243145e-07,-0.0012465039999999,1.533101431738567e-07,0.001,0.002
50243.8,-0.0004653275,1.863485533438197e-07,-0.001238722,1.3977124167725566e-07,0.001,0.002
50244.0,-0.0004623073333333,1.7244464490252153e-07,-0.0012308883333333,1.2127333681487442e-07,0.001,0.002
50244.2,-0.0004593310666666,1.9407076601647134e-07,-0.001223156,1.540908822740359e-07,0.001,0.002
50244.4,-0.0004563468,2.636357841163958e-07,-0.0012155066666666,1.4549532256700917e-07,0.001,0.002
50244.6,-0.0004530845,2.30136010509728e-07,-0.0012078546666666,1.3190232076131097e-07,0.001,0.002
50244.8,-0.0004498621333333,1.543333477321838e-07,-0.0012001573333333,1.288133878480297e-07,0.001,0.002
