Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
49900,0.003569619999999999,4.336808689942018e-19,0.008596288,2.3515101530748827e-07,0,0
49902,0.0035895499999999995,7.631295215537291e-07,0.008638728000000002,4.035046468131277e-07,0,0
49904,0.0036095759999999993,1.8800000000009785e-07,0.008682437999999999,2.752744085449796e-07,0,0
49906,0.003625265666666666,2.8051955764649335e-07,0.008728561,2.1243587267681455e-07,0,0
49908,0.0036430660000000004,8.616263691410747e-08,0.008774819666666668,1.2265081419300815e-07,0,0
49910,0.0036643179999999997,4.22108990664712e-07,0.008820575666666667,2.594826048546286e-07,0,0
49912,0.003683996,1.6316862443488464e-07,0.00886907,2.579922479457427e-07,0,0
49914,0.0037031299999999994,0.0,0.008917947666666667,2.467209399752348e-07,0,0
49916,0.00372554,0.0,0.008967571999999998,2.3785709995740274e-07,0,0
49918,0.0037474943333333332,3.9815979483399966e-07,0.009018496,2.9021371435529234e-07,0,0
49920,0.0037703539999999988,8.616263691410747e-08,0.009070758000000002,2.577906127068537e-07,0,0
49922,0.003791381333333333,1.1723859811886963e-07,0.009123652,2.3785709995654314e-07,0,0
49924,0.003817145666666667,2.831570039552306e-07,0.009177724333333333,8.436758197856233e-08,0,0
49926,0.0038399800000000006,1.3010426069826053e-18,0.009233421666666667,3.1619702015647227e-07,0,0
49928,0.0038633660000000005,8.616263691410744e-08,0.009291694,2.3130931671687758e-07,0,0
49930,0.0038900026666666664,1.8763321193812316e-07,0.009349233999999998,2.624195114700459e-07,0,0
49932,0.003913862,2.2683915006014233e-07,0.009410072666666665,2.667449884985244e-07,0,0
49934,0.0039405943333333335,8.436758197840659e-08,0.009471048333333332,2.5719102282551105e-07,0,0
49936,0.003968301999999999,1.1973303637670411e-07,0.009533748333333333,2.9241617982251227e-07,0,0
49938,0.003995673000000001,5.055304145153842e-07,0.009597392,1.1973303637692045e-07,0,0
49940,0.004024475,2.6762847382132496e-07,0.009663560333333331,2.778066873844333e-07,0,0
49942,0.004053085333333333,2.3795984721972344e-07,0.009730862666666666,2.599093859191065e-07,0,0
49944,0.004083266,6.638252782171607e-07,0.009800557,4.876279319321934e-07,0,0
49946,0.004114832333333333,2.2649037261845725e-07,0.009871636999999999,2.8600874112554515e-07,0,0
49948,0.00414708,8.673617379884035e-19,0.009944948,1.7232527382852627e-07,0,0
49950,0.004195562333333334,9.955858688340511e-07,0.010029089999999997,1.4236923825041853e-06,0,0
49952,0.004229643,3.420540892899069e-07,0.010105226666666666,4.4790872085960245e-07,0,0
49954,0.004263494,4.7571419991437567e-07,0.010184639999999998,5.817215828896061e-07,0,0
49956,0.004300213333333333,2.3697163449579018e-07,0.010265706666666666,5.715087245376995e-07,0,0
49958,0.004336484999999999,2.8500000000012893e-07,0.010348786666666667,5.116856673996715e-07,0,0
49960,0.004373516666666666,2.3697163449579018e-07,0.010435196666666667,4.17519127971778e-07,0,0
49962,0.0044145899999999995,8.673617379884035e-19,0.010523633333333332,4.4221663871372836e-07,0,0
49964,0.004452993333333334,4.2010580677815705e-07,0.010614926666666668,5.732558087119622e-07,0,0
49966,0.004495776666666665,3.229379025273943e-07,0.010707870000000001,1.6155494421400986e-07,0,0
49968,0.004539519999999998,0.0,0.010804610000000001,6.425729530563278e-07,0,0
49970,0.00458256,1.148407593148071e-06,0.01090444,8.014985963802363e-07,0,0
49972,0.004629704333333332,5.354853457895468e-07,0.011006703333333335,5.179982839958792e-07,0,0
49974,0.0046775466666666675,4.2010580677854065e-07,0.011111833333333335,4.988876515703578e-07,0,0
49976,0.004725676333333334,1.5456724175005705e-06,0.01122257,7.380831028187382e-07,0,0
49978,0.004776473333333333,5.87329171381523e-07,0.011335870000000001,5.532630477445585e-07,0,0
49980,0.0048292479999999995,3.840000000001481e-07,0.011452399999999998,4.242640687118621e-07,0,0
49982,0.004884400333333333,8.690396359711154e-07,0.011572400000000002,5.627314338715463e-07,0,0
49984,0.004939331666666667,4.01804955447383e-07,0.011698946666666666,4.1691992303349607e-07,0,0
49986,0.004998588333333332,4.577996893351528e-07,0.011827230000000001,5.447629453868985e-07,0,0
49988,0.005059366,2.879999999998508e-07,0.01196193666666667,6.188609608700775e-07,0,0
49990,0.005121196666666666,6.908851005935738e-07,0.012101169999999998,1.6155494421400984e-07,0,0
49992,0.005187699999999999,4.525483399591561e-07,0.012245903333333334,6.263563061249766e-07,0,0
49994,0.005255571666666668,7.788970121624498e-07,0.012395903333333333,2.456058269306333e-07,0,0
49996,0.0053255690000000005,8.775053656056142e-07,0.012552243333333334,4.876360209099356e-07,0,0
49998,0.005398779999999999,1.734723475976807e-18,0.012714340000000001,2.2449944320640136e-07,0,0
50000,0.005476790333333333,6.706786778248345e-07,0.012882756666666665,5.73691748434943e-07,0,0
50002,0.005558584333333333,1.8183723185553643e-06,0.013058360000000001,9.748846085565473e-07,0,0
50004,0.005641681999999999,4.399272667155329e-07,0.013242260000000002,6.019966777321325e-07,0,0
50006,0.005728846333333333,3.7905569804731554e-07,0.0134334,7.65941686205293e-07,0,0
50008,0.005821511,1.180825558666734e-06,0.013632446666666666,9.091143431322566e-07,0,0
50010,0.005915480666666667,5.160034452941519e-07,0.013841756666666668,4.876360209099677e-07,0,0
50012,0.00601962,8.673617379884035e-19,0.014058986666666667,4.645667037383613e-07,0,0
50014,0.0061255116666666665,3.8654092783159524e-07,0.014287769999999998,5.866003750422856e-07,0,0
50016,0.0062320073333333335,8.587430090285443e-07,0.014530049999999997,3.3541019662491595e-07,0,0
50018,0.006352070333333335,5.269312626475793e-07,0.01478071,6.394528911503205e-07,0,0
50020,0.006474364333333333,7.826948461707296e-07,0.01504603333333333,5.028805910837459e-07,0,0
50022,0.006601902999999999,7.272191324949456e-07,0.015325449999999997,4.890466917038495e-07,0,0
50024,0.006742762333333333,5.995035909445593e-07,0.01561889,7.94711687762874e-07,0,0
50026,0.006889434,2.394660727536246e-07,0.015930233333333335,4.1978830643847224e-07,0,0
50028,0.007042246666666667,1.5017286335715708e-06,0.016259173333333335,8.172854798385153e-07,0,0
50030,0.007208945666666666,3.7837973283750987e-07,0.016607943333333333,6.473964953730087e-07,0,0
50032,0.007386776666666667,9.104333522498386e-07,0.016976026666666665,6.027345094548624e-07,0,0
50034,0.007574173666666667,9.190374795887591e-07,0.01736836666666667,8.810347451840184e-07,0,0
50036,0.0077705683333333326,8.534365171991156e-07,0.01778687333333334,7.456242723758718e-07,0,0
50038,0.007988166666666668,4.055312017038936e-07,0.018230919999999998,9.325234581508276e-07,0,0
50040,0.008219839666666668,1.0438469981544483e-06,0.01870627666666667,7.761801051013541e-07,0,0
50042,0.008463729333333335,8.672713275298327e-07,0.019217659999999994,7.994164538375303e-07,0,0
50044,0.008734507666666667,1.0708149025652192e-06,0.01976453,7.114070564735013e-07,0,0
50046,0.009025693666666666,3.4285549272104034e-07,0.020353969999999996,8.706893820412085e-07,0,0
50048,0.009338058333333335,1.1444447950379218e-06,0.02099525,1.6084671792317745e-06,0,0
50050,0.009685515333333332,1.7401929650345552e-06,0.021682133333333332,1.2765404637369056e-06,0,0
50052,0.010065230000000001,1.9023056186285825e-06,0.02243266,1.4705101155721071e-06,0,0
50054,0.010478813333333335,2.533605248564963e-06,0.023251966666666662,1.1329411085998885e-06,0,0
50056,0.010938573333333335,1.6946845002996482e-06,0.024149413333333335,2.7516944274793826e-06,0,0
50058,0.011454143333333333,2.0037769891438165e-06,0.025135066666666667,3.222145592958538e-06,0,0
50060,0.012022409999999997,2.964832766503866e-06,0.026223523333333332,3.6823618628385123e-06,0,0
50062,0.012659356666666665,4.133415321767581e-06,0.02743813,3.1516292083089477e-06,0,0
50064,0.013394003333333333,6.172707851682329e-06,0.028787826666666665,3.4317083533163234e-06,0,0
50066,0.014219416666666665,7.755818604262272e-06,0.030304223333333328,4.693093033620759e-06,0,0
50068,0.015169326666666663,6.438578172926698e-06,0.03203282666666667,9.081443840173734e-06,0,0
50070,0.01629074333333333,1.1193887717063825e-05,0.03399332,4.458654505564883e-06,0,0
50072,0.01758531666666667,1.4667289759491712e-05,0.03626608666666666,7.280189252730022e-06,0,0
50074,0.019149973333333327,1.4648889225998014e-05,0.03890359,1.6525986606957165e-05,0,0
50076,0.021048323333333334,1.8390426555381394e-05,0.04201409666666667,6.970819336506383e-06,0,0
50078,0.02340469,6.997397135125501e-06,0.045742873333333336,4.3300900170268805e-05,0,0
