Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
40000,0.6910378999999999,1.8299999999993316e-05,0.05841089999999999,6.938893903907228e-18,0,1
40100,0.6911131333333334,2.073601268860309e-05,0.05686466666666667,2.8755675768252254e-05,0,1
40200,0.6909240333333334,1.0949835107836161e-05,0.05938132333333333,0.00014038652519225505,0,1
40300,0.6908020333333333,1.0949835107836165e-05,0.060555229999999995,4.655444948301493e-05,0,1
40400,0.6911050000000001,1.1102230246251565e-16,0.05799990333333333,5.6689025882929296e-05,0,1
40500,0.6911029666666666,1.0949835107836165e-05,0.05813417666666666,4.3820700460956725e-05,0,1
40600,0.6908,1.1102230246251565e-16,0.06107809,8.795836268750577e-05,0,1
40700,0.6908630333333332,1.094983510785609e-05,0.06027652,4.905256636167716e-05,0,1
40800,0.6911151666666666,2.2733357771239562e-05,0.0581057,1.5750132274577352e-05,0,1
40900,0.6909098,2.44000000000355e-05,0.059826896666666664,3.6612224582628835e-05,0,1
41000,0.6907329,1.8299999999993323e-05,0.061936663333333336,3.756289377682474e-05,0,1
41100,0.6909301333333334,2.0736012688603087e-05,0.05995302,8.76444879422946e-05,0,1
41200,0.6910073999999999,3.3780270375854516e-05,0.058693706666666665,6.777361794156267e-05,0,1
41300,0.6908020333333333,1.0949835107836165e-05,0.06142599666666667,5.591979067279117e-05,0,1
41400,0.6907329,1.829999999999332e-05,0.062388363333333335,2.7664905365622826e-05,0,1
41500,0.690922,1.1102230246251565e-16,0.06001813,3.964893567298092e-05,0,1
41600,0.6909809666666666,1.0949835107836161e-05,0.05979842999999999,3.1247945532466194e-05,0,1
41700,0.6907410333333333,1.0949835107836161e-05,0.06256758666666666,6.566778374684239e-05,0,1
41800,0.6907003666666668,2.939555899941789e-05,0.06280163000000001,2.1917620765037423e-05,0,1
41900,0.6909179333333334,1.5216073372902836e-05,0.06035992999999999,2.191762076503743e-05,0,1
42000,0.6908772666666666,2.6975214961596502e-05,0.06058371,5.131123561170567e-05,0,1
42100,0.6905905666666666,3.022767311959161e-05,0.06346276000000001,6.626716431738229e-05,0,1
42200,0.690617,1.1102230246251565e-16,0.06321866333333333,3.4095419861844e-05,0,1
42300,0.6908528666666665,2.0736012688603087e-05,0.06081569666666666,3.3788701102915824e-05,0,1
42400,0.6908548999999998,1.8299999999993323e-05,0.061617229999999995,4.088209999498498e-05,0,1
42500,0.6905051666666665,2.2733357771239562e-05,0.06444546333333333,3.428335342731668e-05,0,1
42600,0.6905621000000001,1.8300000000026625e-05,0.06365200666666666,7.514348023762539e-05,0,1
42700,0.6908,1.1102230246251565e-16,0.06140363333333333,5.09957405628689e-05,0,1
42800,0.6907796666666666,2.875567576824244e-05,0.06224999666666667,5.3072933989201344e-05,0,1
42900,0.690495,2.220446049250313e-16,0.06498868,5.151517834580482e-05,0,1
43000,0.6906190333333333,1.0949835107836161e-05,0.06439664,6.290321454425235e-05,0,1
43100,0.6907735666666666,3.0227673119536594e-05,0.062077066666666667,2.189967021568048e-05,0,1
43200,0.690739,2.220446049250313e-16,0.0628728,6.562004774965105e-05,0,1
43300,0.6904339999999999,0.0,0.06570887666666667,4.36775509335793e-05,0,1
43400,0.6904523,2.795371173922042e-05,0.06535694666666665,7.623381460276319e-05,0,1
43500,0.690617,1.1102230246251565e-16,0.06304776666666666,1.0949835107841142e-05,0,1
43600,0.6906109,1.8300000000026628e-05,0.06330612666666666,3.663556499116743e-05,0,1
43700,0.6903679333333332,1.5216073372875141e-05,0.06603643,2.1917620765037423e-05,0,1
43800,0.690311,2.728002932548748e-05,0.06640670999999998,4.983895631598367e-05,0,1
43900,0.6904990666666665,1.5216073372875143e-05,0.06408333000000002,2.1917620765037427e-05,0,1
44000,0.690617,1.1102230246251565e-16,0.06341803333333335,1.9182428301850153e-05,0,1
44100,0.690372,0.0,0.06593063666666667,4.288676161966719e-05,0,1
44200,0.690189,0.0,0.06751353,4.6558816923687026e-05,0,1
44300,0.6904009333333332,3.093103439733449e-05,0.06570073333333333,3.408487771561826e-05,0,1
44400,0.6905458333333333,2.2733357771239562e-05,0.06413619666666667,4.566514705500745e-05,0,1
44500,0.6904257333333332,2.1075947322852386e-05,0.06565599666666666,3.209623532787501e-05,0,1
44600,0.6901869666666668,1.0949835107856094e-05,0.06822966000000001,4.383524153007485e-05,0,1
44700,0.6902093333333333,2.8755675768242435e-05,0.06733855666666666,4.9671948376879794e-05,0,1
44800,0.6904909333333332,1.5216073372875143e-05,0.06505993000000002,2.1917620765037427e-05,0,1
44900,0.6904360333333331,1.0949835107836165e-05,0.06526742999999999,3.279478769560485e-05,0,1
45000,0.6901808666666668,2.073601268864083e-05,0.06811569666666667,3.859033111487558e-05,0,1
45100,0.6901137666666668,2.580010766557128e-05,0.06885421333333333,2.4174817935659977e-05,0,1
45200,0.6903699666666666,1.0949835107836161e-05,0.06670173,2.76698048421028e-05,0,1
45300,0.6904009333333332,3.093103439733449e-05,0.06558071666666668,3.431381726878269e-05,0,1
45400,0.6901930666666667,1.5216073372875145e-05,0.06775559333333334,6.563616347376967e-05,0,1
45500,0.6900466666666667,2.875567576824244e-05,0.06982266666666666,1.0949835107841142e-05,0,1
45600,0.690128,2.220446049250313e-16,0.06877083,3.8379344705194516e-05,0,1
45700,0.6902886333333335,2.9395558999417893e-05,0.06658573333333334,2.189967021568229e-05,0,1
45800,0.6902195000000001,3.0499999999988873e-05,0.06692549666666667,4.9194244130341475e-05,0,1
45900,0.6899795666666668,3.0227673119536598e-05,0.06962533666666668,5.4431715530151285e-05,0,1
46000,0.6898718,2.4400000000035504e-05,0.07059374666666665,7.97375266455831e-05,0,1
46100,0.6900669999999999,2.220446049250313e-16,0.06867722999999999,3.9881784898202666e-05,0,1
46200,0.6902459333333332,1.521607337287514e-05,0.06720425000000001,5.8823400955739424e-05,0,1
46300,0.6901361333333333,2.073601268864083e-05,0.06840666333333334,4.902282790247403e-05,0,1
46400,0.6898839999999999,2.220446049250313e-16,0.07097218666666666,4.568920173909379e-05,0,1
46500,0.6898392666666666,2.6975214961596505e-05,0.07115528666666666,3.6628893270505364e-05,0,1
46600,0.6900669999999999,2.220446049250313e-16,0.06894376333333334,4.073028752933057e-05,0,1
46700,0.6901788333333333,2.2733357771280945e-05,0.06796919666666666,4.047588980560815e-05,0,1
46800,0.6900405666666667,3.0227673119536598e-05,0.06967616,6.811197447341171e-05,0,1
46900,0.6897437,2.7953711739220425e-05,0.07195886666666666,1.094983510783865e-05,0,1
47000,0.6897640333333332,1.0949835107836161e-05,0.07170052666666667,5.667609686239269e-05,0,1
47100,0.6900730999999999,1.829999999999332e-05,0.06937706666666668,3.27865148430777e-05,0,1
47200,0.6901259666666667,1.0949835107836161e-05,0.06866706666666667,6.956972202202872e-05,0,1
47300,0.6898860333333334,1.0949835107836161e-05,0.07055507333333334,5.998795953263336e-05,0,1
47400,0.6896379666666667,1.0949835107836161e-05,0.07297004666666668,6.636170950848586e-05,0,1
47500,0.6897314999999999,3.049999999998887e-05,0.07220306333333334,1.0967785657196285e-05,0,1
47600,0.6898839999999999,2.220446049250313e-16,0.07000373,2.1917620765037423e-05,0,1
47700,0.6899999000000001,1.8299999999993323e-05,0.06952154333333335,3.338512326704294e-05,0,1
47800,0.6897620000000001,3.3306690738754696e-16,0.07174729666666667,4.0932468639077686e-05,0,1
47900,0.6896034,2.988377486194387e-05,0.07383063000000002,4.011695526831731e-05,0,1
48000,0.6896623666666667,2.9395558999417893e-05,0.07304331333333333,4.711999386908198e-05,0,1
48100,0.6898657,2.79537117392713e-05,0.07091313000000002,3.552686448309006e-05,0,1
48200,0.6898860333333334,1.0949835107836161e-05,0.07024583000000001,5.3099762397460235e-05,0,1
48300,0.6897376000000002,2.9883774861943863e-05,0.07216640666666668,3.3395488051862367e-05,0,1
48400,0.6894366666666665,2.8755675768242442e-05,0.07463225000000001,3.757950460911949e-05,0,1
48500,0.689457,2.220446049250313e-16,0.07419683333333332,3.3349146249276966e-05,0,1
48600,0.6897579333333335,1.5216073372875145e-05,0.07181443000000001,6.42108461762209e-05,0,1
48700,0.689823,1.1102230246251565e-16,0.07101489666666666,3.4335506241916215e-05,0,1
48800,0.6896806666666666,2.8755675768242435e-05,0.07262416333333332,3.427742195025011e-05,0,1
48900,0.6893675333333333,3.0432146745750282e-05,0.07505743999999999,0.0001102340981729334,0,1
49000,0.6893492333333333,2.5800107665571276e-05,0.07525886,6.957869214062584e-05,0,1
49100,0.6895302,2.4400000000035504e-05,0.07312873333333333,2.6039371898894702e-05,0,1
49200,0.6897152333333333,2.580010766557128e-05,0.07179613666666666,3.909915159636276e-05,0,1
49300,0.68964,2.220446049250313e-16,0.07278693333333333,9.682052927395439e-05,0,1
49400,0.689396,2.220446049250313e-16,0.07549079666666667,5.2474206256237356e-05,0,1
49500,0.6892760333333335,1.0949835107836161e-05,0.07652435666666667,6.626951880180009e-05,0,1
49600,0.6894488666666666,2.073601268860309e-05,0.07499641666666665,5.668399587969315e-05,0,1
49700,0.6896217,2.795371173922042e-05,0.07302295666666668,4.6233362292710205e-05,0,1
49800,0.6896013666666667,2.9395558999417893e-05,0.07302296666666666,7.657765702576426e-05,0,1
49900,0.6893431333333332,2.0736012688603094e-05,0.07524866333333334,3.428335342731668e-05,0,1
50000,0.689152,0.0,0.07721193666666668,1.0967785657198775e-05,0,1
50100,0.6883437666666665,2.5800107665571276e-05,0.07786707333333333,4.073478393489237e-05,0,1
50200,0.6894326000000001,2.988377486194387e-05,0.07467293,3.409343191876962e-05,0,1
50300,0.6895200333333332,1.0949835107856092e-05,0.07366990000000001,1.3877787807814457e-17,0,1
50400,0.6894387000000001,2.7953711739220422e-05,0.07500455333333331,2.0770006152037456e-05,0,1
50500,0.6891479333333334,1.5216073372875145e-05,0.07764940000000001,2.4399999999996646e-05,0,1
50600,0.6890706666666666,2.8755675768242442e-05,0.07848153333333333,4.4779521609273575e-05,0,1
50700,0.6892312999999999,2.7953711739271298e-05,0.07661180000000002,2.9041808942738094e-05,0,1
50800,0.6894753,2.795371173922042e-05,0.07486010000000001,3.050000000000275e-05,0,1
50900,0.6894346333333333,2.9395558999417893e-05,0.07482756333333335,1.0967785657196285e-05,0,1
51000,0.689274,2.220446049250313e-16,0.07694746666666667,8.507917227827299e-05,0,1
51100,0.6889710333333333,1.0949835107836165e-05,0.07909387000000001,2.604822642714992e-05,0,1
51200,0.6890666000000001,2.9883774861943867e-05,0.07894944,7.997407746680747e-05,0,1
51300,0.6892394333333333,3.022767311959161e-05,0.07695563,9.85282502635684e-05,0,1
51400,0.6893980333333333,1.0949835107836161e-05,0.07549079,5.0057436011046006e-05,0,1
51500,0.6893655,3.0499999999988873e-05,0.07593836666666667,2.7656323367764556e-05,0,1
51600,0.6890910000000001,2.220446049250313e-16,0.07849170000000001,3.521836642056634e-05,0,1
51700,0.6888388666666665,2.6039371898884077e-05,0.08027593333333333,2.5800107665577148e-05,0,1
51800,0.6889405333333334,3.0432146745805668e-05,0.07970833333333334,1.5216073372882065e-05,0,1
51900,0.6890910000000001,2.220446049250313e-16,0.07776539999999997,1.8299999999997484e-05,0,1
52000,0.6892821333333332,2.073601268860309e-05,0.07633920666666667,2.7019436625432363e-05,0,1
52100,0.6891540333333334,1.0949835107836161e-05,0.07708586333333332,1.0967785657196281e-05,0,1
52200,0.6888876666666666,2.875567576824244e-05,0.07965139999999998,1.3877787807814457e-17,0,1
52300,0.6886609666666665,1.0949835107836163e-05,0.0811772,1.3877787807814457e-17,0,1
52400,0.688725,3.3306690738754696e-16,0.08081712333333334,3.6465332242496025e-05,0,1
52500,0.6889649333333333,1.5216073372902837e-05,0.07882739666666666,3.433550624191621e-05,0,1
52600,0.6891296333333333,2.9395558999417893e-05,0.07743376666666667,2.875567576824898e-05,0,1
52700,0.6890320333333333,1.0949835107836161e-05,0.0778691,2.4400000000002202e-05,0,1
52800,0.6887900666666666,1.5216073372875143e-05,0.08037565333333332,2.0770006152037453e-05,0,1
52900,0.6885837,2.7953711739271298e-05,0.08221276666666669,1.0949835107841145e-05,0,1
53000,0.6885816666666666,2.8755675768294775e-05,0.08215176666666667,1.0949835107841142e-05,0,1
53100,0.6887839666666666,1.0949835107836165e-05,0.08024746666666664,3.0227673119549205e-05,0,1
53200,0.6890157666666668,2.580010766557128e-05,0.07847136666666668,2.8755675768248978e-05,0,1
53300,0.6889568,2.44000000000355e-05,0.07863413333333333,2.8755675768255524e-05,0,1
53400,0.6887270333333333,1.0949835107836161e-05,0.08074796333333334,4.588281074892977e-05,0,1
53500,0.6883986666666666,2.875567576824244e-05,0.08309171999999998,7.472569125363433e-05,0,1
53600,0.6884068,2.4399999999991096e-05,0.08340500333333335,3.433550624191621e-05,0,1
53700,0.6886385999999999,2.9883774861943863e-05,0.0816045,1.3877787807814457e-17,0,1
53800,0.6887860000000001,1.1102230246251565e-16,0.07983856666666667,1.5216073372878604e-05,0,1
53900,0.6888429333333332,3.123665937465428e-05,0.07944793333333333,2.8802816220335982e-05,0,1
54000,0.6886650666666666,1.1129340601412474e-05,0.0810104033333333,7.380143396679804e-05,0,1
54100,0.688358,2.220446049250313e-16,0.08349252666666668,3.500526563564615e-05,0,1
54200,0.688236,0.0,0.0845891,1.8299999999997484e-05,0,1
54300,0.6883559666666668,1.0949835107836165e-05,0.08368579999999999,1.8300000000001648e-05,0,1
54400,0.6886528333333333,2.2733357771239566e-05,0.08159024333333334,2.584240292404653e-05,0,1
54500,0.6887880333333334,1.0949835107836161e-05,0.08046107333333333,3.5002942098566817e-05,0,1
54600,0.6886609666666668,1.0949835107836161e-05,0.08121182999999998,6.812123579814789e-05,0,1
54700,0.6884189999999999,1.1102230246251565e-16,0.08352302333333332,4.367755093357929e-05,0,1
54800,0.6881567,2.7953711739220422e-05,0.08550256666666665,2.073601268860781e-05,0,1
54900,0.6881607666666667,2.5800107665571276e-05,0.0855046,1.8299999999997487e-05,0,1
55000,0.688358,2.220446049250313e-16,0.08364100666666666,5.103801154259652e-05,0,1
55100,0.6885430333333333,1.0949835107856092e-05,0.08192188333333332,4.5674953627659285e-05,0,1
55200,0.6885959,2.4144495577001942e-05,0.08154343333333335,8.633774120021645e-05,0,1
55300,0.6884352666666665,2.697521496154741e-05,0.08290859666666667,0.00011197575178979047,0,1
55400,0.6880936666666667,2.875567576824244e-05,0.08544562333333333,6.854989756050142e-05,0,1
55500,0.6879777666666668,2.5800107665618236e-05,0.08686163999999999,4.6561440413002214e-05,0,1
55600,0.6879981000000002,1.829999999999332e-05,0.08645679666666665,4.0927500805965264e-05,0,1
55700,0.6882461666666665,2.273335777128094e-05,0.08471115666666666,8.536953275157796e-05,0,1
55800,0.6884840666666666,1.5216073372875143e-05,0.08298798,6.368321809288742e-05,0,1
55900,0.6884535666666667,3.0227673119536598e-05,0.08283333333333331,2.073601268860781e-05,0,1
56000,0.688297,2.220446049250313e-16,0.08428593333333334,1.5216073372882063e-05,0,1
56100,0.6879676000000001,2.9883774861998253e-05,0.08678434,7.513625667190809e-05,0,1
56200,0.6878069666666667,1.094983510783616e-05,0.08808844333333334,5.611846210373846e-05,0,1
56300,0.6878578000000001,2.43999999999911e-05,0.08757166666666667,2.580010766557714e-05,0,1
56400,0.688053,0.0,0.08581996666666666,4.1472025377225046e-05,0,1
56500,0.6882217666666666,2.5800107665571276e-05,0.08409876666666666,2.073601268860781e-05,0,1
56600,0.6882807333333333,2.69752149615965e-05,0.08400520333333335,5.967336917661804e-05,0,1
56700,0.688053,0.0,0.08533780333333335,9.850622140532622e-05,0,1
56800,0.687809,2.220446049250313e-16,0.08765106666666667,1.5216073372878604e-05,0,1
56900,0.6876504000000001,2.9883774861998253e-05,0.08905079999999999,2.7755575615628914e-17,0,1
57000,0.6876260000000001,3.3306690738754696e-16,0.08881882333333332,2.9081021111522027e-05,0,1
57100,0.6877805333333333,3.0432146745750282e-05,0.0873418,2.7755575615628914e-17,0,1
57200,0.6880001333333334,2.073601268860309e-05,0.08545376666666665,8.765439457830266e-05,0,1
57300,0.688053,0.0,0.08502240000000001,2.7755575615628914e-17,0,1
57400,0.6879879333333335,1.5216073372902836e-05,0.08592374333333333,2.5842402924046525e-05,0,1
57500,0.6876870000000002,1.1102230246251565e-16,0.08827357,4.148052675653984e-05,0,1
57600,0.6874592666666667,2.6975214961547404e-05,0.09021651000000001,1.8330000000002513e-05,0,1
57700,0.6874450333333335,1.0949835107836163e-05,0.09045052666666668,1.5241017755457813e-05,0,1
57800,0.6876382000000001,2.44000000000355e-05,0.0887822,2.988377486195746e-05,0,1
57900,0.6878720333333334,1.0949835107836161e-05,0.08686366666666669,2.2733357771249906e-05,0,1
58000,0.6880184333333333,3.0227673119536598e-05,0.08593186666666668,4.5552375227740427e-05,0,1
58100,0.6878781333333334,2.073601268860309e-05,0.08675585666666667,4.623336229270825e-05,0,1
58200,0.6876422666666666,2.6975214961596502e-05,0.08875373333333333,2.0736012688612523e-05,0,1
58300,0.6873210000000001,2.220446049250313e-16,0.09094286,8.036087190501109e-05,0,1
58400,0.6872538999999999,1.829999999999332e-05,0.09166104333333334,2.584240292404653e-05,0,1
58500,0.6873637000000001,2.79537117392713e-05,0.09086146666666667,2.8755675768255517e-05,0,1
58600,0.6876016,2.988377486194387e-05,0.08905079999999999,2.7755575615628914e-17,0,1
58700,0.6877642666666667,3.123665937465428e-05,0.08757169000000002,4.904717015282256e-05,0,1
58800,0.6878171333333333,2.073601268860309e-05,0.08753506666666666,2.2733357771244743e-05,0,1
58900,0.6876036333333334,2.939555899941789e-05,0.08870696666666668,2.9395558999424585e-05,0,1
59000,0.6873210000000001,2.220446049250313e-16,0.09120936666666668,4.010360194407328e-05,0,1
59100,0.687077,2.220446049250313e-16,0.09291226666666666,2.6975214961553544e-05,0,1
59200,0.6871319,1.829999999999332e-05,0.09300790666666668,3.554882026484606e-05,0,1
59300,0.6873027,2.7953711739220422e-05,0.09163456666666665,2.8802816220329436e-05,0,1
59400,0.6875304333333332,3.0227673119536598e-05,0.08982592666666664,7.073891872386966e-05,0,1
59500,0.6876341333333333,2.073601268864083e-05,0.08874153333333334,1.5216073372878604e-05,0,1
59600,0.6876870000000002,1.1102230246251565e-16,0.08907722,4.368422598604772e-05,0,1
59700,0.6873494666666667,3.043214674580567e-05,0.09076792,5.162596504343996e-05,0,1
59800,0.6870892000000002,2.4399999999991096e-05,0.09301606333333334,1.0967785657198777e-05,0,1
59900,0.6868930000000001,2.220446049250313e-16,0.09443408666666667,4.567406071526862e-05,0,1
