Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
1000.0,1.0902749333333334e-05,1.1752761994468458e-06,0.00010511000000000002,1.2541093785365495e-06,0.1,0.0002
2000.0,9.569100333333336e-06,9.004566340418004e-07,0.00019547896666666668,3.504534037261191e-05,0.03,0.0005
3000.0,1.6273146666666667e-05,2.374473955319133e-06,0.00030352453333333334,3.413795319751253e-05,0.03,0.0005
4000.0,2.6251993333333333e-05,2.9671753530850777e-06,0.0004126885,3.604627245615465e-05,0.03,0.0005
5000.0,3.8681659999999997e-05,4.147307969723653e-06,0.0005277796,3.925298330284379e-05,0.03,0.001
6000.0,5.611604333333333e-05,1.874400665578793e-06,0.0006599166,1.8416335020120947e-05,0.01,0.001
7000.0,7.337775666666667e-05,2.3358650315865613e-06,0.0007680690333333335,2.321006336122809e-05,0.01,0.001
8000.0,9.294399666666666e-05,2.275801416422111e-06,0.0008768239666666666,2.4716750241463564e-05,0.01,0.001
9000.0,0.00011454060000000003,2.5869343839120995e-06,0.000987797,1.9420982699132396e-05,0.01,0.001
10000.0,0.00013957113333333334,1.519984064243968e-07,0.0011027536666666667,1.7109987012138784e-06,0.01,0.002
11000.0,0.00016361566666666665,5.658836749328922e-06,0.001192669333333333,4.427170171665969e-05,0.01,0.002
12000.0,0.00019077133333333335,7.890982618716687e-06,0.0012970513333333334,4.945991984986992e-05,0.01,0.002
13000.0,0.0002211101333333333,8.63948891518217e-06,0.001401013,5.2300509248636035e-05,0.01,0.002
14000.0,0.00025358790000000003,9.208315920405856e-06,0.001504398,5.525662442338174e-05,0.01,0.002
15000.0,0.00029085236666666673,3.0017032440858607e-06,0.0016163373333333332,3.5455039973966417e-05,0.01,0.002
16000.0,0.0003281968,8.103500231381449e-07,0.0017324859999999997,2.854972971267264e-06,0.003,0.002
17000.0,0.0003667970333333333,2.3503935604253258e-07,0.0018343046666666667,6.554730268202537e-07,0.003,0.002
18000.0,0.00040722093333333333,8.700398815890876e-07,0.0019344126666666665,6.106713973615635e-07,0.003,0.002
19000.0,0.00044915043333333335,1.5974013967134317e-07,0.0020334100000000003,1.1313708498999346e-07,0.003,0.005
20000.0,0.0004927437666666666,6.003063486439339e-07,0.0021311206666666666,4.952705209164683e-07,0.003,0.005
21000.0,0.0005387422333333335,6.530014641807582e-07,0.0022272406666666664,5.234878752707967e-07,0.003,0.005
22000.0,0.0005859013999999999,7.404143704710103e-07,0.0023226583333333336,3.5816275009489484e-07,0.003,0.005
23000.0,0.0006344833666666666,1.4243898455908203e-06,0.0024163506666666666,7.140211637074623e-07,0.003,0.005
24000.0,0.0006849644999999999,1.069588480055132e-06,0.0025089629999999995,6.007725581837877e-07,0.003,0.005
25000.0,0.0007366535999999999,2.7475171822333774e-07,0.0026001540000000004,2.1181123671793165e-07,0.003,0.005
26000.0,0.0007903928333333334,2.0919448540107845e-06,0.002689899666666667,1.1886083833158948e-06,0.003,0.005
27000.0,0.0008444186333333335,1.05193160371238e-06,0.0027777353333333327,1.0642798295352364e-06,0.003,0.005
28000.0,0.0009019331333333334,9.645283038298419e-07,0.0028646270000000002,7.304115278388833e-07,0.003,0.005
