Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
49900.0,0.004601827000000001,5.270493335544005e-07,0.008354436333333333,8.029424360159094e-07,0.003,0.01
49910.0,0.004729475999999999,2.624195114699736e-07,0.008572936333333335,5.284977662100576e-07,0.003,0.01
49920.0,0.004872271333333333,1.4464294736426934e-06,0.008816365666666664,1.028194804283434e-06,0.003,0.01
49930.0,0.005031571999999999,2.5848791074232233e-07,0.009087844666666667,6.130075221578856e-07,0.003,0.01
49940.0,0.005210909666666667,1.2265081419301034e-07,0.00939442266666667,7.862905880710574e-07,0.003,0.01
49950.0,0.005420715333333333,6.385229483391934e-07,0.009739841,1.0326804926983395e-06,0.003,0.01
49960.0,0.005666887333333333,6.857109854417694e-07,0.010134979999999998,1.4423129572552574e-06,0.003,0.02
49970.0,0.005944344666666666,6.496703437556371e-07,0.010592003333333334,1.400353130067116e-06,0.003,0.02
49980.0,0.006271072999999999,7.509201022744509e-07,0.011126216666666666,1.572277187889023e-06,0.003,0.02
49990.0,0.006661281333333331,8.544461493987385e-07,0.011757306666666667,1.898759829175048e-06,0.003,0.02
50000.0,0.00713736,5.772347875864673e-07,0.012516486666666667,5.116856673996715e-07,0.001,0.02
50010.0,0.007722851666666667,1.2671571418817632e-06,0.013447936666666665,5.375768678888637e-07,0.001,0.02
50020.0,0.008470622,1.7232527382821488e-07,0.014617006666666665,4.972814986393197e-07,0.001,0.02
50030.0,0.009455866333333335,7.661439522412646e-07,0.01613034,8.052328855673736e-07,0.001,0.02
50040.0,0.010813873333333335,9.266187037950087e-07,0.018161963333333336,1.4065284292263104e-06,0.001,0.02
50050.0,0.012806063333333333,3.410604377853396e-07,0.021030010000000005,1.4109925584487365e-06,0.001,0.05
50060.0,0.016004953333333332,1.8180086786244688e-06,0.025375560000000002,4.86069953813262e-06,0.001,0.05
50070.0,0.02190473,6.34434919173468e-06,0.03270754333333333,1.5495734538539453e-05,0.001,0.05
50080.0,0.03614888666666666,1.7651359406257482e-05,0.04750715,6.212294128044234e-05,0.001,0.05
50080.1,0.036382149999999995,6.390083463200979e-06,0.04773316666666665,9.253191641567122e-06,0.001,0.05
50080.2,0.036620186666666665,7.982344406389917e-06,0.04796287333333334,1.0843705803623992e-05,0.001,0.05
50080.3,0.036867830000000004,7.340578996236537e-06,0.048192596666666664,9.69434485781459e-06,0.001,0.05
50080.4,0.037116743333333334,7.690239845992628e-06,0.048423886666666666,1.0873507049501037e-05,0.001,0.05
50080.5,0.03737581333333333,7.109980465671753e-06,0.04865249666666667,1.1011372404119647e-05,0.001,0.05
