Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
49900.0,0.7092990666666666,0.0005602167398030478,0.01554165,8.111055315637639e-05,0.003,1.0
49910.0,0.7094109333333334,1.5216073372875143e-05,0.015553833333333333,2.273335777124797e-05,0.003,1.0
49920.0,0.7094231333333333,2.073601268860309e-05,0.015616976666666666,9.019345757253624e-05,0.003,1.0
49930.0,0.709415,0.0,0.015500966666666668,2.4819996418658237e-05,0.003,1.0
49940.0,0.709415,0.0,0.015564,3.469446951953614e-18,0.003,1.0
49950.0,0.709415,0.0,0.0153809,5.204170427930421e-18,0.003,1.0
49960.0,0.7093662000000002,2.43999999999911e-05,0.0156251,0.0,0.003,1.0
49970.0,0.7093540000000002,1.1102230246251565e-16,0.015553833333333333,2.273335777124797e-05,0.003,1.0
49980.0,0.7093540000000002,1.1102230246251565e-16,0.015564,3.469446951953614e-18,0.003,1.0
49990.0,0.7093235,3.0500000000044384e-05,0.015594549999999997,3.0549999999999855e-05,0.003,1.0
50000.0,0.7093540000000002,1.1102230246251565e-16,0.015545699999999999,2.795371173923076e-05,0.001,1.0
50010.0,0.7093519666666669,1.0949835107856092e-05,0.015492833333333332,5.474917553920024e-05,0.001,1.0
50020.0,0.7093377333333335,2.697521496159651e-05,0.015523333333333333,2.8755675768253074e-05,0.001,1.0
50030.0,0.7093519666666668,1.0949835107856092e-05,0.015507066666666664,1.5216073372880767e-05,0.001,1.0
50040.0,0.7093316333333334,2.9395558999471392e-05,0.015498933333333331,4.707507007134644e-05,0.001,1.0
50050.0,0.7092929999999997,1.1102230246251565e-16,0.015511133333333335,2.0736012688610758e-05,0.001,1.0
50060.0,0.7093540000000002,1.1102230246251565e-16,0.0153443,2.9883774861954916e-05,0.001,1.0
50070.0,0.7092929999999997,1.1102230246251565e-16,0.015441999999999999,3.469446951953614e-18,0.001,1.0
50080.0,0.7093499333333335,1.5216073372902837e-05,0.015216106666666666,3.576208358334601e-05,0.001,1.0
50080.1,0.7092523333333334,2.8755675768242435e-05,0.015279156666666667,4.551442030341119e-05,0.001,1.0
50080.2,0.709232,0.0,0.015315803333333333,7.037823282489835e-05,0.001,1.0
50080.3,0.7092482666666666,2.697521496154741e-05,0.015348346666666665,5.84052722125514e-05,0.001,1.0
50080.4,0.7092767333333332,2.6975214961547404e-05,0.0153809,5.204170427930421e-18,0.001,1.0
50080.5,0.7092909666666664,1.0949835107836165e-05,0.015358533333333332,2.939555899942876e-05,0.001,1.0
50080.6,0.7092929999999997,1.1102230246251565e-16,0.015338199999999998,2.7953711739230752e-05,0.001,1.0
50080.7,0.709232,0.0,0.015378866666666664,1.094983510784021e-05,0.001,1.0
50080.8,0.7092503000000001,2.795371173922042e-05,0.01532193333333333,1.094983510784021e-05,0.001,1.0
50080.9,0.709232,0.0,0.015370733333333332,2.273335777124797e-05,0.001,1.0
50081.0,0.709232,0.0,0.015342266666666665,2.939555899942876e-05,0.001,1.0
50081.1,0.7092340333333332,1.0949835107836165e-05,0.015326,1.830000000000009e-05,0.001,1.0
50081.2,0.7092360666666666,1.5216073372875141e-05,0.0153199,0.0,0.001,1.0
50081.3,0.7092929999999997,1.1102230246251565e-16,0.015258800000000001,1.734723475976807e-18,0.001,1.0
50081.4,0.7092340333333332,1.0949835107836165e-05,0.015264910000000001,1.832999999999991e-05,0.001,1.0
50081.5,0.709232,0.0,0.015297496666666667,2.9443748440411137e-05,0.001,1.0
50081.6,0.7092807999999998,2.4399999999991096e-05,0.0152873,4.3842673276158645e-05,0.001,1.0
50081.7,0.709232,0.0,0.015313753333333334,5.9716863800958546e-05,0.001,1.0
50081.8,0.7092401333333334,2.073601268860309e-05,0.015354459999999999,3.7564882536752406e-05,0.001,1.0
50081.9,0.709232,0.0,0.0153809,5.204170427930421e-18,0.001,1.0
50082.0,0.709232,0.0,0.015366666666666666,2.580010766558082e-05,0.001,1.0
50082.1,0.7092502999999998,2.7953711739220425e-05,0.0153199,0.0,0.001,1.0
50082.2,0.7092360666666666,1.5216073372875145e-05,0.015338199999999998,2.7953711739230752e-05,0.001,1.0
50082.3,0.7092421666666666,2.2733357771239562e-05,0.0153199,0.0,0.001,1.0
50082.4,0.709232,0.0,0.015313789999999999,1.8329999999999914e-05,0.001,1.0
50082.5,0.7092279333333332,1.5216073372875145e-05,0.0153199,0.0,0.001,1.0
50082.6,0.709232,0.0,0.015315826666666666,1.5241017755459111e-05,0.001,1.0
50082.7,0.7091750666666667,1.5216073372875141e-05,0.015279166666666665,2.8802816220331896e-05,0.001,1.0
