Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
50092.0,0.1258057,9.798469268213364e-06,0.07769364333333333,5.417236893060051e-06,0.001,0.2
50092.2,0.13139333333333333,1.9853351242435478e-05,0.07764228666666666,4.028577692216165e-05,0.001,0.2
50092.4,0.13735009999999997,2.444224485053003e-05,0.07737119333333331,4.787183537553332e-05,0.001,0.2
50092.6,0.1437002,3.022184640288942e-05,0.07679618333333334,4.787735082711117e-05,0.001,0.2
50092.8,0.15049033333333336,3.252520390234246e-05,0.07584277333333334,4.93444555030132e-05,0.001,0.2
50093.0,0.15769460000000002,4.851432778056265e-05,0.07446743,4.173207519402652e-05,0.001,0.2
50093.2,0.16533959999999998,6.735309940901119e-05,0.07258144000000001,2.836695965379298e-05,0.001,0.2
50093.4,0.17344576666666667,7.06779943751139e-05,0.07009147666666665,2.3514586725879984e-05,0.001,0.2
50093.6,0.18196853333333332,7.465642786942287e-05,0.06688278666666665,2.4491872574840274e-05,0.001,0.2
50093.8,0.19089140000000002,7.677655892262862e-05,0.06284075,2.359776472465115e-05,0.001,0.2
50094.0,0.20014243333333334,2.8021043679510392e-05,0.05782084,2.532551546036742e-05,0.001,0.5
50094.2,0.20970660000000002,7.239963167493162e-05,0.05163091000000001,6.356617208337566e-05,0.001,0.5
50094.4,0.2194376,4.7724626766480844e-05,0.044142923333333334,9.413762862013354e-05,0.001,0.5
50094.6,0.2290932,4.2670364423099414e-05,0.03519410666666666,0.00011783225346039812,0.001,0.5
50094.8,0.23852116666666665,5.283375394153614e-05,0.02466440333333333,0.00010786331005284238,0.001,0.5
50095.0,0.2473783333333333,8.733167937364716e-05,0.012424753333333333,0.00010415216667080075,0.001,0.5
50095.2,0.25540583333333333,9.495054268173103e-05,-0.0016388016666666664,6.965879968739694e-05,0.001,0.5
50095.4,0.2620785333333333,0.00014457633124254814,-0.0174165,5.799649989439002e-05,0.001,0.5
50095.6,0.2670337,0.000162265656666257,-0.03484316333333334,3.1449880586242755e-05,0.001,0.5
50095.8,0.26983626666666666,0.00015493782265441476,-0.05368575666666666,9.588892770052034e-05,0.001,0.5
50096.0,0.27006003333333334,0.000127004063801993,-0.07353257666666665,0.0001484158407613178,0.001,0.5
50096.2,0.26738556666666663,7.118365136898494e-05,-0.09384507333333333,0.0001721630795366876,0.001,0.5
50096.4,0.2617146,2.982348068218162e-05,-0.11397863333333334,0.0001416590939152462,0.001,0.5
50096.6,0.25303643333333337,8.687833766569825e-05,-0.1332967,0.00016922906566741564,0.001,0.5
50096.8,0.24165240000000002,0.0001388965082354512,-0.15110780000000004,0.00013642981101406716,0.001,0.5
50097.0,0.22785853333333334,0.0001916922417719494,-0.16687626666666672,9.467450671760402e-05,0.001,0.5
50097.2,0.21226806666666664,0.00015853116062430317,-0.18019303333333334,5.0235766364440735e-05,0.001,0.5
50097.4,0.1954553,0.00015689957510033712,-0.1908752,7.409921277134818e-05,0.001,0.2
50097.6,0.178069,0.00010472280872220414,-0.19886446666666666,0.00010590805236409139,0.001,0.2
50097.8,0.16062193333333336,3.586635687598882e-05,-0.2042328,6.813535548205546e-05,0.001,0.5
50098.0,0.14363196666666667,2.80029561931538e-05,-0.20725590000000002,0.00014954717204503039,0.001,0.5
50098.2,0.1273792,4.085698634668685e-05,-0.20821209999999998,0.00015724849760808315,0.001,0.5
50098.4,0.1122025,7.363049639924762e-05,-0.20739316666666666,9.661093220863827e-05,0.001,0.5
50098.6,0.09813583666666667,8.989657940594203e-05,-0.20521656666666663,8.171767794601929e-05,0.001,0.5
50098.8,0.08532454000000002,0.00010551592802353045,-0.20192049999999998,5.4376312244703024e-05,0.001,0.5
50099.0,0.07369379999999999,0.00010705691632647432,-0.1978035,1.5316113519211437e-05,0.001,0.2
50099.2,0.06326645333333333,9.747750760503147e-05,-0.1931041,2.9534556031874405e-05,0.001,0.2
50099.4,0.05392787999999999,7.259102974886022e-05,-0.18799320000000003,4.953073120127858e-05,0.001,0.2
50099.6,0.04561765333333333,5.308074185197106e-05,-0.18264076666666668,5.861039915312615e-05,0.001,0.2
50099.8,0.038268016666666675,4.461209913116496e-05,-0.17718376666666663,6.725260011495824e-05,0.001,0.2
50100.0,0.03178480333333333,3.0884683186905924e-05,-0.1716868,8.793308061626514e-05,0.001,0.2
50100.2,0.026020420000000002,3.0308485060568082e-05,-0.1662332333333333,9.015974095398144e-05,0.001,0.2
50100.4,0.0209395,4.0167250341540815e-05,-0.16089453333333334,6.881266033385517e-05,0.001,0.2
50100.6,0.016451646666666667,3.676901533749488e-05,-0.15566873333333328,5.948665583323848e-05,0.001,0.2
50100.8,0.012493203333333333,4.3688903879843794e-05,-0.15060983333333333,6.0483652520511985e-05,0.001,0.2
50101.0,0.008998676,3.5276666471385044e-05,-0.14572216666666668,5.408270415658687e-05,0.001,0.2
50101.2,0.005912809333333334,4.727836841046403e-05,-0.14101536666666667,4.548148585474914e-05,0.001,0.2
50101.4,0.003200799,4.635505879261365e-05,-0.1365116,4.7421935852516554e-05,0.001,0.2
50101.6,0.0008148230333333332,2.423868119003636e-05,-0.13218433333333332,4.666499997023788e-05,0.001,0.2
50101.8,-0.0012901386666666667,3.5530706225585885e-05,-0.12803906666666665,5.5848565086510684e-05,0.001,0.2
