,Time,Value,Alert
0,820468699.716999,50.871,0.0
1,820468709.724,52.751,0.0
2,820468719.725999,56.009,0.0
3,820468729.731,59.539,0.0
4,820468739.731999,62.914,0.0
5,820468749.733,66.091,0.0
6,820468759.734,69.031,0.0
7,820468769.734,71.798,0.0
8,820468779.734999,74.391,0.0
9,820468789.735999,76.85,0.0
10,820468799.737,79.238,0.0
11,820468809.739,81.528,0.0
12,820468819.740999,83.697,0.0
13,820468829.742,85.751,0.0
14,820468839.743,87.749,0.0
15,820468849.743999,89.661,0.0
16,820468859.744999,91.492,0.0
17,820468869.746999,93.291,0.0
18,820468879.748,95.023,0.0
19,820468889.754999,96.663,0.0
20,820468899.756999,98.249,0.0
21,820468909.758,99.787,0.0
22,820468919.759,101.277,0.0
23,820468929.759999,102.724,0.0
24,820468939.762,104.15,0.0
25,820468949.765,105.536,0.0
26,820468959.765999,106.907,0.0
27,820468969.768999,108.197,0.0
28,820468979.774999,109.476,0.0
29,820468989.775999,110.717,0.0
30,820468999.777999,111.946,0.0
31,820469009.778999,113.163,0.0
32,820469019.781999,114.338,0.0
33,820469029.783,115.508,0.0
34,820469039.783999,116.586,0.0
35,820469049.785999,117.685,0.0
36,820469059.786,118.723,0.0
37,820469069.788,119.845,0.0
38,820469079.789,120.895,0.0
39,820469089.789999,121.929,0.0
40,820469099.792,122.977,0.0
41,820469109.794,123.974,0.0
42,820469119.795999,124.984,0.0
43,820469129.797999,125.963,0.0
44,820469139.798,126.926,0.0
45,820469149.801,127.851,0.0
46,820469159.801999,128.77,0.0
47,820469169.804,129.689,0.0
48,820469179.806,130.597,0.0
49,820469189.807999,131.486,0.0
50,820469199.813,132.35,0.0
51,820469209.814999,133.231,0.0
52,820469219.816,134.095,0.0
53,820469229.817999,134.94,0.0
54,820469239.818999,135.744,0.0
55,820469249.824999,136.565,0.0
56,820469259.826999,137.384,0.0
57,820469269.829999,138.173,0.0
58,820469279.832999,138.997,0.0
59,820469289.836,139.76,0.0
60,820469299.839999,140.519,0.0
61,820469309.843,141.272,0.0
62,820469319.853,141.982,0.0
63,820469329.862,142.741,0.0
64,820469339.863999,143.446,0.0
65,820469349.865999,144.145,0.0
66,820469359.867,144.857,0.0
67,820469369.867999,145.553,0.0
68,820469379.868999,146.26,0.0
69,820469389.871,146.97,0.0
70,820469399.872999,147.666,0.0
71,820469409.878,148.39,0.0
72,820469419.882,149.083,0.0
73,820469429.885,149.79,0.0
74,820469439.89,150.499,0.0
75,820469449.892,151.19,0.0
76,820469459.895,151.851,0.0
77,820469469.896,152.512,0.0
78,820469479.897999,153.173,0.0
79,820469489.899999,153.842,0.0
80,820469499.901,154.489,0.0
81,820469509.902999,155.128,0.0
82,820469519.905999,155.75,0.0
83,820469529.909,156.375,0.0
84,820469539.911,156.98,0.0
85,820469549.914999,157.574,0.0
86,820469559.915999,158.157,0.0
87,820469569.917999,158.743,0.0
88,820469579.920999,159.355,0.0
89,820469589.923,159.929,0.0
90,820469599.923999,160.501,0.0
91,820469609.925999,161.026,0.0
92,820469619.929,161.575,0.0
93,820469629.932999,162.128,0.0
94,820469639.935,162.683,0.0
95,820469649.936,163.218,0.0
96,820469659.946,163.798,0.0
97,820469669.952,164.336,0.0
98,820469679.957999,164.848,0.0
99,820469689.966,165.364,0.0
100,820469699.975999,165.868,0.0
101,820469709.977,166.409,0.0
102,820469719.986999,166.907,0.0
103,820469729.995999,167.454,0.0
104,820469740.006,167.946,0.0
105,820469750.015999,168.467,0.0
106,820469760.016,168.941,0.0
107,820469770.025,169.455,0.0
108,820469780.025999,169.931,0.0
109,820469790.027999,170.412,0.0
110,820469800.031999,170.886,0.0
111,820469810.033,171.312,0.0
112,820469820.037,171.792,0.0
113,820469830.041,172.246,0.0
114,820469840.050999,172.714,0.0
115,820469850.053,173.166,0.0
116,820469860.054999,173.637,0.0
117,820469870.064999,174.094,0.0
118,820469880.066,174.553,0.0
119,820469890.067999,175.05,0.0
120,820469900.074999,175.537,0.0
121,820469910.079,176.073,0.0
122,820469920.079999,176.558,0.0
123,820469930.085999,177.066,0.0
124,820469940.089,177.527,0.0
125,820469950.092,178.038,0.0
126,820469960.097999,178.526,0.0
127,820469970.103,179.006,0.0
128,820469980.104999,179.461,0.0
129,820469990.113999,179.941,0.0
130,820470000.118,180.374,0.0
131,820470010.128,180.851,0.0
132,820470020.129999,181.287,0.0
133,820470030.135,181.719,0.0
134,820470040.137,182.096,0.0
135,820470050.14,182.484,0.0
136,820470060.15,182.905,0.0
137,820470070.151999,183.28,0.0
138,820470080.155999,183.687,0.0
