,Time,Value,Alert
0,820479526.308999,154.29,0.0
1,820479531.317999,154.245,0.0
2,820479536.323,154.081,0.0
3,820479541.332,153.865,0.0
4,820479546.338,153.606,0.0
5,820479551.349,153.243,0.0
6,820479556.356,152.856,0.0
7,820479561.358,152.444,0.0
8,820479566.367999,152.023,0.0
9,820479571.37,151.596,0.0
10,820479576.377,151.173,0.0
11,820479581.384,150.832,0.0
12,820479586.387999,150.501,0.0
13,820479591.39,150.271,0.0
14,820479596.390999,150.09,0.0
15,820479601.391999,150.036,0.0
16,820479606.394999,150.054,0.0
17,820479611.396,150.14,0.0
18,820479616.396999,150.339,0.0
19,820479621.397999,150.606,0.0
20,820479626.399,150.964,0.0
21,820479631.399999,151.361,0.0
22,820479636.401,151.82,0.0
23,820479641.401,152.269,0.0
24,820479646.402,152.799,0.0
25,820479651.402999,153.323,0.0
26,820479656.404,153.832,0.0
27,820479661.403999,154.278,0.0
28,820479666.405,154.694,0.0
29,820479671.407,155.052,0.0
30,820479676.408999,155.357,0.0
31,820479681.411,155.57,0.0
32,820479686.413,155.66,0.0
33,820479691.416,155.715,0.0
34,820479696.417999,155.654,0.0
35,820479701.42,155.538,0.0
36,820479706.421999,155.316,0.0
37,820479711.421999,155.01,0.0
38,820479716.423,154.665,0.0
39,820479721.423999,154.283,0.0
40,820479726.424999,153.85,0.0
41,820479731.429,153.377,0.0
42,820479736.437,152.938,0.0
43,820479741.443999,152.502,0.0
44,820479746.446999,152.091,0.0
45,820479751.454,151.73,0.0
46,820479756.456,151.435,0.0
47,820479761.457,151.21,0.0
48,820479766.460999,151.107,0.0
49,820479771.463,151.065,0.0
50,820479776.468,151.099,0.0
51,820479781.472,151.279,0.0
52,820479786.472999,151.49,0.0
53,820479791.481999,151.815,0.0
54,820479796.490999,152.21,0.0
55,820479801.496999,152.646,0.0
56,820479806.498,153.084,0.0
57,820479811.501999,153.576,0.0
58,820479816.512,154.065,0.0
59,820479821.521,154.551,0.0
60,820479826.524999,155.003,0.0
61,820479831.527999,155.411,0.0
62,820479836.527999,155.786,0.0
63,820479841.530999,156.081,0.0
64,820479846.535,156.297,0.0
65,820479851.544999,156.445,0.0
66,820479856.553,156.486,0.0
67,820479861.562999,156.453,0.0
68,820479866.567,156.328,0.0
69,820479871.576,156.114,0.0
70,820479876.581,155.847,0.0
71,820479881.582,155.486,0.0
72,820479886.588999,155.087,0.0
73,820479891.591,154.662,0.0
74,820479896.6,154.201,0.0
75,820479901.602,153.72,0.0
76,820479906.612,153.287,0.0
77,820479911.614,152.873,0.0
78,820479916.617,152.51,0.0
79,820479921.620999,152.215,0.0
80,820479926.620999,151.957,0.0
81,820479931.628,151.779,0.0
82,820479936.63,151.713,0.0
