,Time,Value,Alert
0,820481556.015999,143.36,0.0
1,820481561.023,143.311,0.0
2,820481566.027999,143.258,0.0
3,820481571.033999,143.166,0.0
4,820481576.036,143.055,0.0
5,820481581.042,142.915,0.0
6,820481586.051999,142.78,0.0
7,820481591.054999,142.62,0.0
8,820481596.060999,142.441,0.0
9,820481601.062,142.243,0.0
10,820481606.067,142.059,0.0
11,820481611.074999,141.858,0.0
12,820481616.079999,141.652,0.0
13,820481621.085999,141.441,0.0
14,820481626.088,141.211,0.0
15,820481631.088999,141.012,0.0
16,820481636.093,140.781,0.0
17,820481641.094999,140.565,0.0
18,820481646.099999,140.33,0.0
19,820481651.102,140.105,0.0
20,820481656.111,139.879,0.0
21,820481661.112999,139.628,0.0
22,820481666.114,139.395,0.0
23,820481671.123,139.166,0.0
24,820481676.124,138.922,0.0
25,820481681.133,138.693,0.0
26,820481686.14,138.462,0.0
27,820481691.143999,138.233,0.0
28,820481696.151,138.0,0.0
29,820481701.157,137.759,0.0
30,820481706.158,137.504,0.0
31,820481711.160999,137.269,0.0
32,820481716.167999,137.021,0.0
33,820481721.172,136.786,0.0
34,820481726.179999,136.559,0.0
35,820481731.182999,136.33,0.0
36,820481736.189,136.085,0.0
37,820481741.195,135.852,0.0
38,820481746.201,135.639,0.0
39,820481751.209,135.402,0.0
40,820481756.216,135.154,0.0
41,820481761.219,134.938,0.0
42,820481766.227,134.706,0.0
43,820481771.230999,134.479,0.0
44,820481776.234,134.25,0.0
45,820481781.237999,134.014,0.0
46,820481786.239,133.795,0.0
47,820481791.248999,133.546,0.0
48,820481796.249,133.326,0.0
49,820481801.250999,133.113,0.0
50,820481806.261,132.884,0.0
51,820481811.265,132.645,0.0
52,820481816.27,132.429,0.0
53,820481821.270999,132.192,0.0
54,820481826.272,131.977,0.0
55,820481831.272999,131.76,0.0
56,820481836.274,131.522,0.0
57,820481841.274,131.299,0.0
58,820481846.275999,131.078,0.0
59,820481851.275999,130.859,0.0
60,820481856.277,130.648,0.0
61,820481861.277999,130.437,0.0
62,820481866.277999,130.217,0.0
63,820481871.28,130.002,0.0
64,820481876.280999,129.795,0.0
65,820481881.280999,129.598,0.0
66,820481886.282,129.364,0.0
67,820481891.282,129.153,0.0
68,820481896.283,128.95,0.0
69,820481901.283999,128.734,0.0
70,820481906.283999,128.533,0.0
71,820481911.285,128.324,0.0
72,820481916.286,128.133,0.0
73,820481921.286999,127.911,0.0
74,820481926.287999,127.708,0.0
75,820481931.287999,127.501,0.0
76,820481936.289,127.316,0.0
77,820481941.288999,127.094,0.0
78,820481946.291999,126.908,0.0
79,820481951.292999,126.693,0.0
80,820481956.295,126.493,0.0
81,820481961.297,126.298,0.0
82,820481966.297999,126.107,0.0
83,820481971.298999,125.91,0.0
84,820481976.299999,125.697,0.0
